Genshin Impact Extra 4
まずら	マズラ
もんどふうはっしゅどぽてと	モンド風ハッシュドポテト
もんどふうやきざかな	モンド風焼き魚
もん・おとんぬき	モン・オトンヌキ
やききのこみーとぴざ	焼きキノコミートピザ
やきそば	焼きそば
やくくん	薬君
やこんのしれん	夜魂の試練
やしざい	ヤシ材
やぬすのもん	ヤヌスの門
やのふすきー	ヤノフスキー
やぶれたはいこつ	毀れた背骨
やまさちのめん	山幸の麺
やました	山下
やまのおう	山の王
やまもりきのこ	山盛りキノコ
やむちゃしようぜ	飲茶しようぜ！
やれつぃ	ヤレツィ
やんたさー	ヤンタサー
ゆいいつのしんそう	唯一の真相
ゆうきゅうのげんのがくしょう	悠久の弦の楽章
ゆうきゅうのげんのざんしょう	悠久の弦の残章
ゆうきゅうのげんのだんしょう	悠久の弦の断章
ゆうきゅうのげんのひびき	悠久の弦の響き
ゆうぐれのたいやき	夕暮れの鯛焼き
ゆうぐれのみ	夕暮れの実
ゆうぐれべりーてぃー	夕暮れベリーティー
ゆうしのかんむり	勇士の冠
ゆうしのきたい	勇士の期待
ゆうしのくんしょう	勇士の勲章
ゆうしのそうこう	勇士の壮行
ゆうすいなるちょうこく	幽邃なる彫刻
ゆうゆうだいこうぐん	幽々大行軍
ゆきおおうこきょうのさいご	雪覆う故郷の最後
ゆきのいのしし	雪のイノシシ
ゆきのいのししおう	雪のイノシシ王
ゆふぃ	ユフィ
ゆふとぅん	ユフトゥン
ゆめ	夢
ゆめみざい	夢見材
ゆーさー	ユーサー
ゆーふらしあ	ユーフラシア
ようごうざん	影向山
ようてつのこさい	熔鉄の孤砦
ようとく	葉徳
ようむのかけら	幼夢の欠片
ようめつのとき	溶滅の刻
よくじょうのうき	翼状の羽鰭
よげんしゃ	予言者
よごれたかめん	汚れた仮面
よりきぶし	寄騎武士
らいうんのいんろう	雷雲の印籠
らいこうのぷりずむ	雷光のプリズム
らいさいのせいぞんしゃ	雷災の生存者
らいちょう	雷鳥
らいちょうのあわれみ	雷鳥の憐み
らいていのとけい	雷霆の時計
らいていのねんじゅ	雷霆の念珠
らおじ	羅おじ
らくらいのぜんちょう	落雷の前兆
らくらくだじゅう	ラクラク駄獣
らしゅぬ	ラシュヌ
らずべりー	ラズベリー
らずべりーみずまんじゅう	ラスベリー水まんじゅう
らぞーり	ラゾーリ
らたとぅいゆ・たっせす	ラタトゥイユ・タッセス
らてぃしあ	ラティシア
らどみーる	ラドミール
らな	ラナ
らのーる	ラノール
らふまん	ラフマン
らまない	ラマナイ
らまん	ラマン
らわっと	ラワット
りさ・みんつ	リサ・ミンツ
りしゅぼらんとら	リシュボラン虎
りしゅぼらんとらのらーじゃ	リシュボラン虎のラージャ
りすいじょうざんしんくん	理水畳山真君
りそうてきじょうきょう	「理想的状況」
りつほん	立本
りとう	離島
りのれあ	リノレア
りびあく	リビアク
りふぁえっと	リファエット
りふぃーちく	リフィー地区
りゅううんしゃくふうしんくん	留雲借風真君
りゅうおう	龍王
りゅうおうのかんむり	龍王の冠
りゅうかんせんしのきんてき	竜冠戦士の金笛
りゅうさうなぎ	流砂ウナギ
りゅうしめん	龍髭麺
りゅうみんのたに	龍眠の谷
りゅどひか・しゅないつぇふな	リュドヒカ・シュナイツェフナ
りょういのはね	良医の羽
りょうしとーすと	漁師トースト
りょうへいのかたな	猟兵の刀
りよんえりあ	リヨンエリア
りりあ	リリア
りりう	リリウ
りりす	リリス
りるぱぁーる	リルパァール
りんご	リンゴ
りーゆぇさんし	璃月三糸
りーゔぁ	リーヴァ
るか	ルカ
るきなのいずみ	ルキナの泉
るしあん	ルシアン
るね・ど・ぺとりこーる	ルネ・ド・ペトリコール
るぽーととけいてん	ルポート時計店
るみどぅーすはーばー	ルミドゥースハーバー
るりてい	琉璃亭
るろうしゃのまんかいのはな	流浪者の満開の花
るー	ルー
るーめら	ルーメラ
れいえん	霊淵
れいこう	霊光
れいこうかげろう	霊光カゲロウ
れいこうひゃくしゅ	霊光百種
れいしん	霊芯
れいせいにくもりあわせ	冷製肉盛り合わせ
れいんどっと	レインドット
れいんぼーすぴりっとのち	レインボースピリットの地
れきせんのやさき	歴戦の矢先
れぐば	レグバ
れしゅっつのくろっくわーくこうぼう	レシュッツのクロックワーク工房
れっしぐ・ろーれんす	レッシグ・ローレンス
れでぃどっぐ	レディドッグ
れもでぃえーる	レモディエール
れりる	レリル
れんじゃーちょうのいちおし	レンジャー長のイチオシ
れんぶひきょう	煉武秘境
ろあるて	ロアルテ
ろう	ロウ
ろうこなやさき	牢固な矢先
ろかのむかしがたり	炉火の昔語り
ろざりん・くるーずちか・ろーえふぁるた	ロザリン・クルーズチカ・ローエファルタ
ろっくだんごぎゅうにゅう	ロック団子牛乳
ろのゔぁ	ロノヴァ
ろはうぇい	ロハウェイ
ろまりたいむはーばー	ロマリタイムハーバー
ろれんつぉ	ロレンツォ
ろーうぃっく	ローウィック
ろーずしゅりかんど	ローズシュリカンド
ろーぜる	ローゼル
ろーでしあ	ローデシア
わいな	ワイナ
わかたけに	若竹煮
わかむらさき	若紫
わくかうはま	ワクカウ浜
わけあ・ぬい	ワケア・ヌイ
わにのほしにく	ワニの干し肉
わひっど	ワヒッド
わーぐなー	ワーグナー
んじぇりっくあぷりしあ	アンジェリックアプリシア
ゔぁざーりかいろう	ヴァザーリ回廊
ゔぁしぇ	ヴァシェ
ゔぁねっさ	ヴァネッサ
ゔぁるな	ヴァルナ
ゔぁーじる	ヴァージル
ゔぁーでぃくとでぃなー	ヴァーディクトディナー
ゔぃくとりあ	ヴィクトリア
ゔぃくとる	ヴィクトル
ゔぃくらむ	ヴィクラム
ゔぃしゃっぷけんきゅうじょ	ヴィシャップ研究所
ゔぃちゃま	ヴィチャマ
ゔぃなやっく	ヴィナヤック
ゔぃらんどら	ヴィランドラ
ゔぃるまんと	ヴィルマント
ゔぇずるふぇるにる	ヴェズルフェルニル
ゔぇにーる	ヴェニール
ゔぇる・ごれっと	ヴェル・ゴレット
ゔぇるー	ヴェルー
ゔぉーとらん	ヴォートラン
