Genshin Impact 1
ああるこしゃり	アアルコシャリ
えら・ますく	エラ・マスク
えりなす	エリナス
えりにゅすさんりんちく	エリニュス山林地区
えりにゅすとう	エリニュス島
えりん	エリン
えるとんかいこう	エルトン海溝
えるひんげん	エルヒンゲン
えるふぁね	エルファネ
えるまいとりょだん	エルマイト旅団
えるまいとりょだん・あっくす	エルマイト旅団・アックス
えるまいとりょだん・くろすぼう	エルマイト旅団・クロスボウ
えるまいとりょだん・げいるはんたー	エルマイト旅団・ゲイルハンター
えるまいとりょだん・さんどうぉーたー	エルマイト旅団・サンドウォーター
えるまいとりょだん・さんどろあますたー	エルマイト旅団・サンドロアマスター
えるまいとりょだん・さんふろすと	エルマイト旅団・サンフロスト
えるまいとりょだん・すとーんえんちゃんたー	エルマイト旅団・ストーンエンチャンター
えるまいとりょだん・そーどだんさー	エルマイト旅団・ソードダンサー
えるまいとりょだん・でいさんだー	エルマイト旅団・デイサンダー
えるまいとりょだん・ふろーらるりんぐだんさー	エルマイト旅団・フローラルリングダンサー
えるまいとりょだん・べくどこるばん	エルマイト旅団・ベクドコルバン
えるまいとりょだん・らいんぶれいかー	エルマイト旅団・ラインブレイカー
えるみん	エルミン
えれいん	エレイン
えれぼす	エレボス
えんかくのとう	縁覚の塔
えんかのみや	淵下宮
えんがんのあげーと	炎願のアゲート
えんがんのあげーと・かけら	炎願のアゲート・欠片
えんがんのあげーと・かたまり	炎願のアゲート・塊
えんがんのあげーと・さいせつ	炎願のアゲート・砕屑
えんこうのうき	淵光の羽鰭
えんしぇんとゔぃしゃっぷ・いわ	エンシェントヴィシャップ・岩
えんじょう	淵上
えんたい	遠黛
えんどふぇーず	エンドフェーズ
えんどらー	エンドラー
えんひ	煙緋
えーじぇんとのかたな	エージェントの刀
おあしすがーでんのあいし	オアシスガーデンの哀思
おあしすがーでんのおんけい	オアシスガーデンの恩恵
おあしすがーでんのしんたい	オアシスガーデンの真諦
おあしすがーでんのついおく	オアシスガーデンの追憶
おいしそうな	美味しそうな
おいなかいがん	オイナ海岸
おうごん	黄金
おうごん	黄金
おうごんおうじゅう	黄金王獣
おうごんがに	黄金ガニ
おうごんのおしえ	「黄金」の教え
おうごんのげきだん	黄金の劇団
おうごんのじゃんぼちきん	黄金のジャンボチキン
おうごんのてつがく	「黄金」の哲学
おうごんのみちびき	「黄金」の導き
おうごんや	黄金屋
おうじつのうみ	往日の海
おうじょうどう	往生堂
おうじょうやこう	往生夜行
おうたつ	応達
おうのきんじ	王の近侍
おおかみのまつろ	狼の末路
おおがたいわすらいむ	大型岩スライム
おおがたかぜすらいむ	大型風スライム
おおがたかみなりすらいむ	大型雷スライム
おおがたがれきぶりーちゃーぷりむす	大型瓦礫ブリーチャープリムス
おおがたきょうまんぶりーちゃーぷりむす	大型狂蔓ブリーチャープリムス
おおがたくさすらいむ	大型草スライム
おおがたこおりすらいむ	大型氷スライム
おおがたほのおすらいむ	大型炎スライム
おおがたみずすらいむ	大型水スライム
おおわんのおちゃ	大椀のお茶
おくぞうさん	奥蔵山
おこのみやき	お好み焼き
おこめぷりん	お米プリン
おず	オズ
おずゔぁるど・らふなゔぃねす	オズヴァルド・ラフナヴィネス
おせる	オセル
おたべください	お食べくだ菜
おとぎざい	御伽材
おにかぶとむし	オニカブトムシ
おにぎり	おにぎり
おにくたっぷりずし	お肉たっぷり寿司
おにくつみつみ	お肉ツミツミ
おにくとやさいのしちゅー	お肉と野菜のシチュー
おむらいす	オムライス
おむらいす・わるつ	オムライス・ワルツ
おもいつのぶえ	重い角笛
おりじなるりょうり	オリジナル料理
おるもすこう	オルモス港
おれぐ	オレグ
おれたけんのつか	折れた剣の柄
おれんじきし	橙色騎士
おろばし	オロバシ
おろばしのみこと	オロバシノミコト
おんだんせんれい	温暖仙霊
おんどり	雄鶏
おーがすたす・らゔれす	オーガスタス・ラヴレス
おーしゃんじゅんかいほうかん	オーシャン巡回法官
おーともんたーにゅ	オートモンターニュ
おーれる	オーレル
かいえんのふぃなーれ	海淵のフィナーレ
かいか	開花
かいじんのこころ	灰燼の心
かいそう	海草
かいらい	傀儡
かいらぎ・えんい	海乱鬼・炎威
かいらぎ・らいとう	海乱鬼・雷騰
かいりついん	諧律院
かうとりや	カウトリヤ
かえでざい	楓材
かえではらかずは	楓原万葉
かおりたかい	香り高い
かかい	花海
かかた	カカタ
かかんむせいけいがいき	華館夢醒形骸記
かがやくだいや	輝くダイヤ
かくさん	拡散
かくめいのよいん	鶴鳴の余韻
かぐらのしんい	神楽の真意
かげうちのつば	影打の鍔
かげきじょう	歌劇場
かげろうまる	影狼丸
かこうのりん	華光の林
かこくのやみじ	河谷の闇路
かごつるべいっしん	籠釣瓶一心
かさがら	カサガラ
かしん	花神
かしんきぞうみっきゅう	華清帰蔵密宮
かじぇ	カジェ
かじんろういちしんくん	歌塵浪市真君
かすみいろのほうじゅ	霞色の宝珠
かずは	万葉
かぜうなりのおか	風唸りの丘
かぜげんそ	風元素
かぜしょうちょう	風晶蝶
かぜすらいむ	風スライム
かぜたちのち	風立ちの地
かぜのあくりょう	風の悪霊
かぜふらいむ	風フライム
かたいどうのこんぱす	堅い銅のコンパス
かたてけん	片手剣
かたりな	カタリナ
かちがんしゅう	華池岩岫
かっしおどる	カッシオドル
かっぱつじょうたい	活発状態
かつさんど	カツサンド
かつてのゔぁならーな	かつてのヴァナラーナ
かつらぎきりながまさ	桂木斬長正
かつりょくにゃんこめし	活力にゃんこ飯
かなたにあるしょうじょのこころ	彼方にある少女の心
かに	カニ
かにのばたーぞえ	カニのバター添え
かにみそこうらやき	かにみそ甲羅焼き
かにみそとはむのぐりるやさい	かにみそとハムのグリル野菜
かにみそどうふ	かにみそ豆腐
かねのけん	鐘の剣
かのてぃら	カノティラ
かばざい	樺材
かぱっちり	カパッチリ
かぴたーの	カピターノ
かふか	過負荷
かま	カマ
かみさとあやか	神里綾華
かみさとあやと	神里綾人
かみさとやしき	神里屋敷
かみなりうちのうつわ	雷討ちの器
かみなりうちのかんむり	雷討ちの冠
かみなりうちのこころ	雷討ちの心
かみなりうちのとき	雷討ちの刻
かみなりうちのはね	雷討ちの羽根
かみなりげんそ	雷元素
かみなりしょうちょう	雷晶蝶
かみなりすらいむ	雷スライム
かみなりのようないかり	雷のような怒り
かみなりふらいむ	雷フライム
かみなりまつりのかんむり	雷祭りの冠
かみなりまつりのひと	雷祭りの人
かみなりをしずめるそんじゃ	雷を鎮める尊者
かみなりをよぶかんむり	雷を呼ぶ冠
かみにすてられたでんかく	神に捨てられた殿閣
かみのごばん	「神の碁盤」
かみのごばん	神の碁盤
かみふうしょくち	上風蝕地
かめいむねひさ	亀井宗久
かもにくのこんふぃ	鴨肉のコンフィ
かもむねにくのおれんじそーすそてー	鴨胸肉のオレンジソースソテー
からすばのゆみ	鴉羽の弓
からふるまかろん	カラフルマカロン
からぼす	カラボス
かりうどのあおみどりいろのやばね	狩人の青緑色の矢羽
かりかりちきんばーがー	カリカリチキンバーガー
かりのしゅうかく	狩りの収穫
かりぶでぃすとりであと	カリュブディス砦跡
かりべると	カリベルト
かりべると・あるべりひ	カリベルト・アルベリヒ
かりゅうどのみち	狩人の道
かりろえー	カリロエー
かるぴりあ	カルピリア
かれい	花霊
かれぬきぬのはな	枯れぬ絹の花
かれーしゅりむぷ	カレーシュリムプ
かろん	カロン
かわったひるちゃーる	変わったヒルチャール
かんう	甘雨
かんうん	閑雲
かんぎょくのかいおう	銜玉の海皇
かんじゅくとまとのみーとそーす	完熟トマトのミートソース
かんでん	感電
かんなざん	カンナ山
かんなづか	神無塚
かんほうてっき	寒鋒鉄器
かんろかかい	甘露花海
かんろかげろう	甘露カゲロウ
かんろのいけ	甘露の池
かーたー・しぇるびうす	カーター・シェルビウス
かーる・いんごるど	カール・インゴルド
かーれす	カーレス
かーんるいあ	カーンルイア
かーんるいあのごだいつみびと	カーンルイアの「五大罪人」
かーゔぇ	カーヴェ
がいあ	ガイア
がいあ・あるべりひ	ガイア・アルベリヒ
がいかいのしなぷす	外界のシナプス
がいがっくす	ガイガックス
がくしゃ	学者
がくしゃのこっぷ	学者のコップ
がくしゃのしおり	学者のしおり
がくしゃのとけい	学者の時計
がくしゃのはねぺん	学者の羽根ペン
がくしゃのれんず	学者のレンズ
がくだんのあさのひかり	楽団の朝の光
がみん	嘉明
がるしあ	ガルシア
がるびびだむ	ガルビビダム
がれきぶりーちゃーぷりむす	瓦礫ブリーチャープリムス
がんぎょくのかいおう	銜玉の海皇
がんじょうちゃしつ	岩上茶室
がんだおか	ガンダ丘
がんだるゔぁーむら	ガンダルヴァー村
がーどどっぐ	ガードドッグ
がーりっくばげっと	ガーリックバゲット
きいろのせんりょう	黄色の染料
