;; okuri-ari entries.
;; okuri-nasi entries.
ああるのかげ /アアルの影/
かみなりをしずめるそんじゃ /雷を鎮める尊者/
かみにすてられたでんかく /神に捨てられた殿閣/
かみのごばん /「神の碁盤」/
かみのごばん /神の碁盤/
かみふうしょくち /上風蝕地/
からすばのゆみ /鴉羽の弓/
かりゅうどのみち /狩人の道/
かわったひるちゃーる /変わったヒルチャール/
かんう /甘雨/
かんうん /閑雲/
かんぎょくのかいおう /銜玉の海皇/
かんでん /感電/
かんなづか /神無塚/
かんろかかい /甘露花海/
かーんるいあ /カーンルイア/
かーゔぇ /カーヴェ/
がいあ /ガイア/
がくしゃ /学者/
がみん /嘉明/
がんぎょくのかいおう /銜玉の海皇/
がんだおか /ガンダ丘/
がんだるゔぁーむら /ガンダルヴァー村/
きぃにち /キィニチ/
きしゃのげきじょう /祈者の劇場/
きせき /奇跡/
きたいんじゅうもんじやり /喜多院十文字槍/
きのこん /キノコン/
きのしし /キノシシ/
きゃっつてーる /キャッツテール/
きゃらえりあ /キャラエリア/
きゃらかーど /キャラカード/
きゃらばんしゅくえき /キャラバン宿駅/
きゃらふぞく /キャラ付属/
きゃんでぃす /キャンディス/
きゅうきぞくたいけん /旧貴族大剣/
きゅうきぞくちょうきゅう /旧貴族長弓/
きゅうきぞくちょうけん /旧貴族長剣/
きゅうきぞくのしつけ /旧貴族のしつけ/
きゅうきぞくひほうろく /旧貴族秘法録/
きゅうきぞくりょうそう /旧貴族猟槍/
きゅうぞう /弓蔵/
きゅうとうじゅ /急凍樹/
きょうかん /教官/
きょうけんのかみなり /強権の雷/
きょうせんし /狂戦士/
きょうふうのこあ /狂風のコア/
きょうれいいん /教令院/
きょえんしゅこうく /巨淵主鉱区/
きょえんほらぐち /巨淵洞口/
きょじゃがんけつ /巨蛇岩穴/
きよいずみちょう /清泉町/
きらら /綺良々/
きりぎり /霧切/
きりぎりのかいこう /霧切の廻光/
きりはら /帰離原/
きんぐでしぇれとのすいしょうはい /「キングデシェレトの水晶杯」/
きんぐでしぇれとのすいしょうはい /キングデシェレトの水晶杯/
きんぐでしぇれとのれいびょう /キングデシェレトの霊廟/
きんぱく /金珀/
きんぱく・しさく /金珀・試作/
きんめっきのゆめ /金メッキの夢/
きんらくのにわ /錦落の庭/
きんりんごぐんとう /金リンゴ群島/
きんろう /勤労/
ぎょうえいそう /翹英荘/
ぎょうこう /凝光/
ぎょかく /漁獲/
ぎょにく /魚肉/
ぎんのけん /銀の剣/
ぎんびんのにわ /銀瓶の庭/
くいっくあくしょん /クイックアクション/
くおんるてんのだいてん /久遠流転の大典/
くきしのぶ /久岐忍/
くさげんそ /草元素/
くさなぎ /草薙/
くさなぎのいなびかり /草薙の稲光/
くじょうさら /九条裟羅/
くだけたうみ /砕けた海/
くだけたつみきこうざん /砕けた積み木鉱山/
くふる・あはう /クフル・アハウ/
くれー /クレー/
くろりんで /クロリンデ/
くんれんようたいけん /訓練用大剣/
ぐらんどばざーる /グランドバザール/
ぐんぎょくかく /群玉閣/
けいうんちょう /慶雲頂/
けいきや /瓊璣野/
けいこうあいろ /蛍光隘路/
けいさくそう /軽策荘/
けいたいがたちぇーんそー /携帯型チェーンソー/
けっしょうか /結晶化/
けったく /竭沢/
けっとうたいせん /決闘対戦/
けものにく /獣肉/
けわしきせきどう /嶮しき石堂/
けんじょうでん /権杖殿/
けんとうしのふぃなーれ /剣闘士のフィナーレ/
けんれんざん /懸練山/
げきか /激化/
げんえいかーど /幻影カード/
げんえいかーどすきん /幻影カードスキン/
げんかいあべらんと /原海アベラント/
げんげきか /原激化/
げんしん /原神/
げんそ /元素/
げんそうしあたー /幻想シアター/
げんそきょうめい /元素共鳴/
げんそさいころ /元素サイコロ/
げんそしかく /元素視覚/
げんそしーるど /元素シールド/
げんそじゅくち /元素熟知/
げんそすきる /元素スキル/
げんそたいせい /元素耐性/
げんそちょうわ /元素調和/
げんそはんのう /元素反応/
げんそばくはつ /元素爆発/
げんぼくとう /原木刀/
げんもんじゅう /玄文獣/
こううん /幸運/
こうさくのまもり /交錯の護り/
こうし /公子/
こうじょうからくりじんけい /恒常からくり陣形/
こうそう /抗争/
こうちゅうじつげつ /匣中日月/
こうちゅうめつりゅう /匣中滅龍/
こうちゅうりゅうぎん /匣中龍吟/
こうへい /公平/
こうりんのけん /降臨の剣/
こうんかく /孤雲閣/
こおりげんそ /氷元素/
こおりまつりのひと /氷祭りの人/
こか・しさく /古華・試作/
こくえいそう /黒纓槍/
こくがんじょう /黒岩場/
こくがんのざんとう /黒岩の斬刀/
こくがんのせんきゅう /黒岩の戦弓/
こくがんのちょうけん /黒岩の長剣/
こくがんのとっそう /黒岩の突槍/
こくがんのひぎょく /黒岩の緋玉/
こくじゃきし /黒蛇騎士/
こくじゃしゅう /黒蛇衆/
こくせい /刻晴/
ここみ /心海/
こしのろう /古祠の瓏/
こそうじょうたい /枯燥状態/
こっけん /黒剣/
こっぺりあ /コッペリア/
こっぺりうす /コペリウス/
ことわりのかんむり /理の冠/
これい /コレイ/
ころうざん /琥牢山/
ごだいおあしすのいこう /「五大オアシス」の遺構/
ごだいおあしすのいこう /五大オアシスの遺構/
ごまのつえ /護摩の杖/
ごろー /ゴロー/
さいしょうのたに /採樵の谷/
さいだん /裁断/
さいふぉすのつきあかり /サイフォスの月明かり/
さいれいのけん /祭礼の剣/
さいれいのたいけん /祭礼の大剣/
さいれいのだんぺん /祭礼の断片/
さいれいのゆみ /祭礼の弓/
さかとびのりゅうせい /逆飛びの流星/
さかばちょうせん /酒場挑戦/
ささやきのもり /囁きの森/
さじょうのろうかくのしわ /砂上の楼閣の史話/
さちゅうのけんじゃたちのもんどう /砂中の賢者達の問答/
さまよえるほし /彷徨える星/
さむどらかいがん /サムドラ海岸/
さゆ /早柚/
さら /裟羅/
さんうんがのち /「三運河の地」/
さんうんがのち /三運河の地/
さんごのみやここみ /珊瑚宮心海/
さーんどるのわたしもり /サーンドルの渡し守/
ざんがん・しさく /斬岩・試作/
ざんさんのやいば /斬山の刃/
ざんぱのひれなが /斬波のひれ長/
ざんひょう /散兵/
しえんえりあ /支援エリア/
しえんかーど /支援カード/
しかのいんへいぞう /鹿野院平蔵/
しぐうぃん /シグウィン/
しちせいしょうかん /七聖召喚/
しちようじゃくしょうひみつしゅ /七葉寂照秘密主/
しっきゃくのたに /失脚の谷/
しとうのやり /死闘の槍/
しとらり /シトラリ/
しなばーすぴんどる /シナバースピンドル/
しにょーら /シニョーラ/
しのはね /死の羽/
しのぶ /忍/
しふうげんてん /四風原典/
しぶん /詩文/
しむらんか /シムランカ/
しもふうしょくち /下風蝕地/
しゃくせきのおか /鑠石の丘/
しゃざい /赦罪/
しゃしんのこう /捨身の坑/
しゃしんのみち /捨身の道/
しゃどうはすく /シャドウハスク/
しゃるろっと /シャルロット/
しゃんりん /香菱/
しゃーぷしゅーたーのちかい /シャープシューターの誓い/
しゅうえん /終焉/
しゅうえんをなげくうた /終焉を嘆く詩/
しゅくさいでん /祝祭殿/
しゅくじょ /淑女/
しゅくふくのもり /祝福の森/
しゅごのこころ /守護の心/
しゅりょうゆみ /狩猟弓/
しゅゔるーず /シュヴルーズ/
しゅーにゃたーこ /シューニャター湖/
しょう /魈/
しょういんのひびくころ /松韻の響く頃/
しょうかんぶつえりあ /召喚物エリア/
しょうざいしゅでん /秤罪主殿/
しょうしん /昭心/
しょうじょ /少女/
しょうちょう /晶蝶/
しょうり /鍾離/
しろねん /シロネン/
しんえん /辛炎/
しんかく /申鶴/
しんかくばんしん /神鶴万心/
しんきょうらせん /深境螺旋/
しんけんしょうぶ /真剣勝負/
しんざいのしんれいしゃ /深罪の浸礼者/
しんしゃおうじょうろく /辰砂往生録/
しんまいのながやり /新米の長槍/
しんらてんせい /神羅天征/
しんりんのきおく /深林の記憶/
しんりんのれがりあ /森林のレガリア/
しーどるこ /シードル湖/
じっけんようふぃーるどせいせいそうち /実験用フィールド生成装置/
じゃくすい /若水/
じゃくだりゅうおう /若陀龍王/
じゅういきうぇるぷ /獣域ウェルプ/
じゅういきうるぶず /獣域ウルブズ/
じゅういきはうんど /獣域ハウンド/
じゅらばどはいと・きんぐでしぇれとしんでん /ジュラバド廃都・キングデシェレト神殿/
じゅんすいせいれい /純水精霊/
じゅんすいるか /純水流華/
じゆう /自由/
じょうはつ /蒸発/
じん /ジン/
じんかつぼ /塵歌壺/
じんじゃくかい /燼寂海/
じんそくのかぜ /迅速の風/
じんでんじゅ /迅電樹/
じんにーろうごく /ジンニー牢獄/
すいかんきょう /酔漢峡/
すいけい /水蛍/
すいけつざか /翠決坡/
すいこうのさいは /萃光の裁葉/
すいせんじゅうじのけん /水仙十字の剣/
すいせんのゆめ /水仙の夢/
すいりょくのかげ /翠緑の影/
すからましゅ /スカラマシュ/
すくろーす /スクロース/
すなのめ /砂ノ目/
すねーじなや /スネージナヤ/
すめーる /スメール/
すめーるしてぃ /スメールシティ/
すらいむ /スライム/
すらさたんなせいしょ /スラサタンナ聖処/
すーぱーあるてぃめっとはおうまけん /スーパーアルティメット覇王魔剣/
せいいぶつ /聖遺物/
せいえい /精鋭/
せいがいじゅう /聖骸獣/
せいきょうら /青墟浦/
せいきんちゅう /聖金虫/
せいぎ /正義/
せいぎのほうしゅう /正義の報酬/
せいけんでん /聖顕殿/
せいけんのかぎ /聖顕の鍵/
せいこうのさきゅう /精鋼の砂丘/
せいじゃくのうた /静寂の唄/
せいすいるてんのかがやき /静水流転の輝き/
せいとうりょういき /征討領域/
せいとのーと /生徒ノート/
せいのはな /生の花/
せいらいじま /セイライ島/
せいれんそざい /精錬素材/
せきかくせきじんめっさい /赤角石塵滅砕/
せきげつのしるえっと /赤月のシルエット/
せきさのつえ /赤砂の杖/
せきしょうのいしがき /赤璋の石垣/
せきぼうだい /赤望台/
せきもん /石門/
せっそうのせいぎん /雪葬の星銀/
せとす /セトス/
せの /セノ/
せぴゅろすあろー /西風猟弓/
せぴゅろすぐれーとそーど /西風大剣/
せぴゅろすこでっくす /西風秘典/
せぴゅろすすぴあ /西風長槍/
せぴゅろすそーど /西風剣/
せぴゅろすながやり /西風長槍/
せんがんこけん /千岩古剣/
せんがんながやり /千岩長槍/
せんがんろうこ /千岩牢固/
せんきょけん /船渠剣/
せんじんのさばく /千尋の砂漠/
せんちょうしょう /仙跳牆/
せんとうあくしょん /戦闘アクション/
せんねんしんじゅのかいしゅん /千年真珠の海駿/
せんぷうのしんでん /千風の神殿/
せんやにうかぶゆめ /千夜に浮かぶ夢/
せんれい /仙霊/
ぜつうんのま /絶雲の間/
ぜつえんのはたじるし /絶縁の旗印/
ぜつげん /絶弦/
そうい /創意/
そうがんきょえん /層岩巨淵/
そうがんきょえん・ちかこうく /層岩巨淵・地下鉱区/
そうげきか /草激化/
そうげんかく /草原核/
そうこ /蒼古/
そうこなるじゆうへのちかい /蒼古なる自由への誓い/
そうすいのしゅりょうゆみ /蒼翠の狩猟弓/
そうはくのほのお /蒼白の炎/
そうばくのゆうど /蒼漠の囿土/
そうびかーど /装備カード/
そうふうのこうち /蒼風の高地/
そくさい /息災/
そべくおあしす /ソベクオアシス/
そら /空/
そらのさかずき /空の杯/
たいだる・しゃどー /タイダル・シャドー/
たいちょう /隊長/
たかとびのはま /鷹飛びの浜/
たにっとろえいち /タニット露営地/
たびびとのこころ /旅人の心/
たるたりや /タルタリヤ/
たんげつ・しさく /澹月・試作/
たんしゃがい /丹砂崖/
だいせきさかい /大赤砂海/
だいちをるろうするがくだん /大地を流浪する楽団/
だじゅう /駄獣/
だだうぱのたに /ダダウパの谷/
だまーゔぁんどさん /ダマーヴァンド山/
だんきゅう /弾弓/
だーくあれいのかりうど /ダークアレイの狩人/
だーくあれいのさけとうた /ダークアレイの酒と詩/
だーくあれいのせんこう /ダークアレイの閃光/
だーり /ダーリ/
だーりいせき /ダーリ遺跡/
だーりのたに /ダーリの谷/
だーるあるしふぁ /ダールアルシファ/
ちえのかんむり /知恵の冠/
ちおり /千織/
ちかいのみさき /誓いの岬/
ちかいのめいどう /誓いの明瞳/
ちかしつげん /地下湿原/
ちくうん /築雲/
ちこがん /チ虎岩/
ちこぎょのかたな /チ虎魚の刀/
ちじょうこうく /地上鉱区/
ちぞめのきしどう /血染めの騎士道/
ちちゅうのしお /地中の塩/
ちつじょ /秩序/
ちほうでんせつ /地方伝説/
ちゃすか /チャスカ/
ちゃとらかむどうくつ /チャトラカム洞窟/
ちゅうきょうのけんさん /鋳境の研鑽/
ちゅうげん /忠言/
ちょううん /重雲/
ちょうかいか /超開花/
ちょうげきか /超激化/
ちょうさいようごうどれいく /兆載永劫ドレイク/
ちょうでんどう /超電導/
ちょうどひん /調度品/
ちりゅうのけん /螭龍の剣/
ちりょうのみず /治療の水/
ちんぎょくのたに /沈玉の谷/
ちんりんのこころ /沈淪の心/
ちんろうえん /沈瓏淵/
ちんわときょうこく /チンワト峡谷/
ついおくのしめなわ /追憶のしめ縄/
つるみ /鶴観/
てぃなり /ティナリ/
ていわっと /テイワット/
てきかしゅう /荻花洲/
てっこうようえんていおう /鉄甲熔炎帝王/
てっさいのはな /鉄彩の花/
てつえいだんびら /鉄影段平/
てつかげだんびら /鉄影段平/
てつせんそう /鉄尖槍/
てつなざん /鉄和山/
てつほうのさし /鉄蜂の刺し/
てんきゅうのたに /天穹の谷/
てんくうのおごり /天空の傲/
てんくうのしま /天空の島/
てんくうのせき /天空の脊/
てんくうのつばさ /天空の翼/
てんくうのまき /天空の巻/
てんくうのやいば /天空の刃/
てんこう /天光/
てんこうきょう /天工峡/
てんこうざん /天衡山/
てんぷかーど /天賦カード/
でぃおな /ディオナ/
でぃしあ /ディシア/
でぃるっく /ディルック/
でっとえーじぇんと /デットエージェント/
でーゔぁーんたかやま /デーヴァーンタカ山/
とぅにぎのこくえん /トゥニギの黒淵/
とぅらいとぅーら /トゥライトゥーラ/
とぅらいとぅーらのきおく /トゥライトゥーラの記憶/
とうかぼうしぐれ /東花坊時雨/
とうきょく /冬極/
とうきょくのはくせい /冬極の白星/
とうけつ /凍結/
ときのくちばし /トキの嘴/
ときのすな /時の砂/
とっきゅうのほうぎょく /特級の宝玉/
とっこう /篤行/
とっぱちょうせん /突破挑戦/
とりっくふらわー /トリックフラワー/
とりにく /鳥肉/
とれじゃーすとりーと /トレジャーストリート/
とわりん /トワリン/
とんぎょくのおか /遁玉の丘/
とーま /トーマ/
どぅる・かるないんとうげ /ドゥル・カルナイン峠/
どういつげんそ /同一元素/
どうけ /道化/
どどこのものがたり /ドドコの物語/
どらごんすぱいん /ドラゴンスパイン/
どらごんすぴあ /ドラゴンスピア/
どりー /ドリー/
どんせいのくじら /呑星の鯨/
どーんまんぽーと /ドーンマンポート/
どーんまんぽーと /荊夫港/
ながえぶき /長柄武器/
なた /ナタ/
なな /七七/
なのかしゅうれん /七日修練/
なひーだ /ナヒーダ/
なるかみおおやしろ /鳴神大社/
なるかみじま /鳴神島/
なんてんもん /南天門/
なゔぃあ /ナヴィア/
にぃろう /ニィロウ/
ぬゔぃれっと /ヌヴィレット/
ねっせいのほのお /熱誠の炎/
ねっとうもーど /熱闘モード/
ねんしょう /燃焼/
のえる /ノエル/
のぶし /野伏/
のぶししゅう /野伏衆/
はかせ /博士/
はくうしんげん /白雨心弦/
はくえいそう /白纓槍/
はくえいのけん /白影の剣/
はくしんのわ /白辰の輪/
はくせきとおうどうのちょうぞう /白石と黄銅の彫像/
はくてつのたいけん /白鉄の大剣/
はじまりのだいまじゅつ /始まりの大魔術/
はすのはなぱい /ハスの花パイ/
はてなきこんぺきのうた /果てなき紺碧の唄/
はてんのやり /破天の槍/
はなしあいぼう /話死合い棒/
はまのゆみ /破魔の弓/
はらはらとう /ハラハラ島/
はらん /波乱/
はらんげっぱくふつ /波乱月白経津/
はんえい /繁栄/
はんえいきゅうとうせいまとりっくす /半永久統制マトリックス/
ばいだこう /バイダ港/
ばくえんじゅ /爆炎樹/
ばくと /博徒/
ばっせい /跋掣/
ばるそむのおか /バルソムの丘/
ばんがん /磐岩/
ばんがんけつりょく /磐岩結緑/
ばんこくしょかいのずふ /万国諸海の図譜/
ばんのうげんそ /万能元素/
ばんみんどう /万民堂/
ばーばら /バーバラ/
ぱるでぃすでぃあい /パルディスディアイ/
ひうんのおか /緋雲の丘/
ひきょう /秘境/
ひぎせいでん /秘儀聖殿/
ひぎょくほうじゅ /翡玉法珠/
ひけい /飛蛍/
ひじょうのおか /避譲の丘/
ひつじのみのいわ /羊呑の岩/
ひてんおおみつるぎ /飛天大御剣/
ひてんのはこ /秘典の箱/
ひてんみつるぎ /飛天御剣/
ひでんかーど /秘伝カード/
ひまつりのひと /火祭りの人/
ひょうけい /氷蛍/
ひょうけいじゅつし /氷蛍術師/
ひょうせつのじゅうしゃ /氷霜の従者/
ひょうふうをさまようゆうし /氷風を彷徨う勇士/
ひらい /飛雷/
ひらいのめいげん /飛雷の鳴弦/
ひるちゃーる /ヒルチャール/
ひるちゃーるおうじゃ /ヒルチャール王者/
ひるちゃーるぼうと /ヒルチャール暴徒/
ひるちゃーるれんじゃー /ヒルチャールレンジャー/
ひるちゃーる・いわかぶとのおう /ヒルチャール・岩兜の王/
ひるちゃーる・かみなりかぶとのおう /ヒルチャール・雷兜の王/
びゃくじゅつ /白朮/
ふぁでゅいせんけんたい /ファデュイ先遣隊/
ふぁらくけるとのその /ファラクケルトの園/
ふぁるざん /ファルザン/
ふぁんとむはんたー /ファントムハンター/
ふぃっしゅる /フィッシュル/
ふぃよるどのうた /フィヨルドの歌/
ふうが /風雅/
ふうしんのほこ /風信の矛/
ふうようけん /風鷹剣/
ふうりゅうはいきょ /風龍廃墟/
ふえのけん /笛の剣/
ふぉんた /フォンタ/
ふぉんてーぬ /フォンテーヌ/
ふごうのたに /伏鰲の谷/
ふしゃ /富者/
ふしょくのけん /腐植の剣/
ふたふたとう /フタフタ島/
ふどうのいわ /不動の岩/
ふみつかい /文使い/
ふめつのげっか /不滅の月華/
ふゆしのびのみ /冬忍びの実/
ふらいむ /フライム/
ふりーな /フリーナ/
ふれみね /フレミネ/
ふんさいのこおり /粉砕の氷/
ふーたお /胡桃/
ぶじん /武人/
ぶつり /物理/
ぷらいまるこうぞうたい /プライマル構造体/
ぷりんとう /プリン島/
ぷろすぺくたーどりる /プロスペクタードリル/
へいぞう /平蔵/
へきすいのはら /碧水の原/
へきらくのろう /碧落の瓏/
べねっと /ベネット/
べびーゔぃしゃっぷ・いわ /ベビーヴィシャップ・岩/
べるういんどおうこく /ベルウインド王国/
ぺるゔぇーれ /ペルヴェーレ/
ほういんのおか /飽飲の丘/
ほうき /法器/
ほうけつのくち /宝玦の口/
ほうとういたち /宝盗イタチ/
ほうとうだん /宝盗団/
ほうろうしゃ /放浪者/
ほうろうりょう /奔狼領/
ほくと /北斗/
ほこやり /鉾槍/
ほしおちのたに /星落ちの谷/
ほしおとしのみずうみ /星落としの湖/
ほしがま・しさく /星鎌・試作/
ほしたけ /星茸/
ほしひろいのがけ /星拾いの崖/
ほたる /蛍/
ほのおげんそ /炎元素/
ぼうけんしゃ /冒険者/
ぼうけんちょうせん /冒険挑戦/
ぼうふうかいかく /望風海角/
ぼうふうさんち /望風山地/
ぼうめいしゃ /亡命者/
ぼれあす /ボレアス/
ぼろぼろとう /ボロボロ島/
ぽけっとまどうしょ /ポケット魔導書/
まうてぃーまちゅうりん /マウティーマ稠林/
まかいらのみずいろ /マカイラの水色/
まがつみたけなるかみのみこと /禍津御建鳴神命/
まぐうけんき /魔偶剣鬼/
ましなりー /マシナリー/
まじっくふらわー /マジックフラワー/
ますくしょう /マスク礁/
まぞうぷらえとりあに /魔像プラエトリアニ/
まぞうれがとぅす /魔像レガトゥス/
まっしゅらぷとる /マッシュラプトル/
まどうしょろん /魔導緒論/
まはーゔぁならーなぱな /マハヴァナラーナパナ/
まらーなのけしん /マラーナの化身/
まんえつのみ /満悦の実/
まんせいのくさ /蔓生の草/
まんせいのけいこく /蔓生の渓谷/
まーゔぃか /マーヴィカ/
みか /ミカ/
みずげんそ /水元素/
みずまつりのひと /水祭りの人/
みらーめいでん /ミラーメイデン/
みんりん /珉林/
むあらに /ムアラニ/
むこう /無効/
むこうのけん /無工の剣/
むしょくげんそ /無色元素/
むそうのいわ /無相の岩/
むそうのかぜ /無相の風/
むそうのかみなり /無相の雷/
むそうのくさ /無相の草/
むそうのこおり /無相の氷/
むそうのほのお /無相の炎/
むそうのみず /無相の水/
むほうのけん /無鋒の剣/
むぼうのおか /無妄の丘/
むめいいせき /無名遺跡/
むーんぴあさー /ムーンピアサー/
めいうんちょう /明蘊町/
めいえんさん /暝垣山/
めいかんきょうこく /明冠峡谷/
めいかんさんち /明冠山地/
めいどてん /冥途殿/
めしつかい /召使/
めりゅじーぬ /メリュジーヌ/
もううんのつき /曚雲の月/
もうじゃきょうろ /亡者狭路/
もえさかるほのおのまじょ /燃え盛る炎の魔女/
もな /モナ/
もほん /模本/
もんど /モンド/
やえ /八重/
やえどう /八重堂/
やえみこ /八重神子/
やくちょうのたに /薬蝶の谷/
やこん /夜魂/
やこんのかご /夜魂の加護/
やこんばーすと /夜魂バースト/
やざだはいけ /ヤザダハ池/
やしおりじま /ヤシオリ島/
やすなゆうきょう /ヤスナ幽境/
やまがくれのげいじゅう /山隠れの猊獣/
ゆうこうたいせん /友好対戦/
ゆうしのこころ /勇士の心/
ゆうやのわるつ /幽夜のワルツ/
ゆくあき /行秋/
ゆみ /弓/
ゆみぞう /弓蔵/
ゆめのはやし /夢の林/
よいみや /宵宮/
ようかい /溶解/
ようこうのはま /瑶光の浜/
ようへいのじゅうけん /傭兵の重剣/
よぉーよ /ヨォーヨ/
らいおんごんげん /雷音権現/
らいきんのよきょう /来歆の余響/
らいけい /雷蛍/
らいけいじゅつし /雷蛍術師/
らいでん /雷電/
らいでんえい /雷電影/
らいでんしょうぐん /雷電将軍/
らいでんなしょなる /雷電ナショナル/
らいれい /雷霊/
らざんがーでん /ラザンガーデン/
らっか /落霞/
らっきーかーどこいん /ラッキーカードコイン/
りおせすり /リオセスリ/
りかーぶぼう /リカーブボウ/
りくつぜめ /理屈責め/
りさ /リサ/
りしゃこう /璃沙郊/
りね /リネ/
りねっと /リネット/
りゅうけつをあびたけん /龍血を浴びた剣/
りゅうげつ /流月/
りゅうげつのはり /流月の針/
りゅうごろしのえいけつたん /龍殺しの英傑譚/
りょうてけん /両手剣/
りょどうのけん /旅道の剣/
りるのかんししゃ /凛流の監視者/
りろーる /リロール/
りんぐぼう /リングボウ/
りんじほんこう /臨時本坑/
りーゆぇ /璃月/
りーゆぇこう /璃月港/
るみどぅーすのばんか /ルミドゥースの挽歌/
るりほう /琉璃峰/
るろうがくしょう /流浪楽章/
れいくかん /霊矩関/
れいくのにわ /霊枢の庭/
れいじん /冷刃/
れいせいせんにく /冷製鮮肉/
れいめいのしんけん /黎明の神剣/
れいもうさん /霊濛山/
れいら /レイラ/
れきせんのしゅりょうゆみ /歴戦の狩猟弓/
れざー /レザー/
れっかをわたるけんじゃ /烈火を渡る賢者/
れっちゅうすなはら /列柱砂原/
れっぷうのじゅうしゃ /烈風の従者/
れつかいか /烈開花/
れつじつのこうし /烈日の後嗣/
れんじげーじ /レンジゲージ/
ろうが /狼牙/
ろうちゃじゅのおか /老茶樹の丘/
ろくかのいけ /漉華の池/
ろさりあ /ロサリア/
ろーかぱーらみつりん /ローカパーラ密林/
ろーる /ロール/
