Genshin Impact 4
ぽうる	ポウル
むくなうみのくはい	無垢な海の苦杯
むくなうみのしゅはい	無垢な海の酒盃
むくのはな	無垢の花
むこう	無効
むこうのけん	無工の剣
むしょくげんそ	無色元素
むじょうのめん	無常の面
むそうじんはざま	無想刃狭間
むそうのいわ	無相の岩
むそうのかぜ	無相の風
むそうのかみなり	無相の雷
むそうのくさ	無相の草
むそうのこおり	無相の氷
むそうのほのお	無相の炎
むそうのみず	無相の水
むほうのけん	無鋒の剣
むぼうのおか	無妄の丘
むみょうとりで	無明砦
むめいいせき	無名遺跡
むーんぴあさー	ムーンピアサー
めいうんちょう	明蘊町
めいえんさん	暝垣山
めいかんきょうこく	明冠峡谷
めいかんさんち	明冠山地
めいどてん	冥途殿
めかんとる	メカントル
めしつかい	召使
めらっく	メラック
めりっさ	メリッサ
めりゅしーむら	メリュシー村
めりゅじーぬ	メリュジーヌ
めろぴでようさい	メロピデ要塞
めんてましなりー	メンテマシナリー
めんてましなりー・おうごんとうそつがた	メンテマシナリー·黄金統率型
もううんじんじゃ	曚雲神社
もううんのつき	曚雲の月
もうじゃきょうろ	亡者狭路
もえさかるほのおのまじょ	燃え盛る炎の魔女
もしりさいじょう	モシリ祭場
もな	モナ
もほん	模本
ももよ	百代
もりす	モリス
もるてちく	モルテ地区
もんたな	モンタナ
もんど	モンド
もん・おとんぬき	モン・オトンヌキ
やえ	八重
やえどう	八重堂
やえみこ	八重神子
やくくん	薬君
やくちょうのたに	薬蝶の谷
やこん	夜魂
やこんのかご	夜魂の加護
やこんばーすと	夜魂バースト
やざだはいけ	ヤザダハ池
やしおりじま	ヤシオリ島
やすなゆうきょう	ヤスナ幽境
やぬすのもん	ヤヌスの門
やまがくれのげいじゅう	山隠れの猊獣
ゆうきゅうのげんのがくしょう	悠久の弦の楽章
ゆうきゅうのげんのざんしょう	悠久の弦の残章
ゆうきゅうのげんのだんしょう	悠久の弦の断章
ゆうきゅうのげんのひびき	悠久の弦の響き
ゆうこうたいせん	友好対戦
ゆうしのかんむり	勇士の冠
ゆうしのきたい	勇士の期待
ゆうしのくんしょう	勇士の勲章
ゆうしのこころ	勇士の心
ゆうしのそうこう	勇士の壮行
ゆうやのわるつ	幽夜のワルツ
ゆきおおうこきょうのさいご	雪覆う故郷の最後
ゆくあき	行秋
ゆふぃ	ユフィ
ゆふとぅん	ユフトゥン
ゆみ	弓
ゆみぞう	弓蔵
ゆめのはやし	夢の林
ゆーさー	ユーサー
ゆーふらしあ	ユーフラシア
よいみや	宵宮
ようかい	溶解
ようこうのはま	瑶光の浜
ようごうざん	影向山
ようとく	葉徳
ようへいのじゅうけん	傭兵の重剣
よぉーよ	ヨォーヨ
よげんしゃ	予言者
よりきぶし	寄騎武士
らいうんのいんろう	雷雲の印籠
らいおんごんげん	雷音権現
らいきんのよきょう	来歆の余響
らいけい	雷蛍
らいけいじゅつし	雷蛍術師
らいさいのせいぞんしゃ	雷災の生存者
らいちょう	雷鳥
らいちょうのあわれみ	雷鳥の憐み
らいていのとけい	雷霆の時計
らいでん	雷電
らいでんえい	雷電影
らいでんしょうぐん	雷電将軍
らいでんなしょなる	雷電ナショナル
らいれい	雷霊
らおじ	羅おじ
らくらいのぜんちょう	落雷の前兆
らざんがーでん	ラザンガーデン
らしゅぬ	ラシュヌ
らっか	落霞
らっきーかーどこいん	ラッキーカードコイン
らてぃしあ	ラティシア
らどみーる	ラドミール
らな	ラナ
らのーる	ラノール
らふまん	ラフマン
らわっと	ラワット
りおせすり	リオセスリ
りかーぶぼう	リカーブボウ
りくつぜめ	理屈責め
りさ	リサ
りさ・みんつ	リサ・ミンツ
りしゃこう	璃沙郊
りすいじょうざんしんくん	理水畳山真君
りつほん	立本
りとう	離島
りね	リネ
りねっと	リネット
りのれあ	リノレア
りふぁえっと	リファエット
りふぃーちく	リフィー地区
りゅううんしゃくふうしんくん	留雲借風真君
りゅうおう	龍王
りゅうけつをあびたけん	龍血を浴びた剣
りゅうげつ	流月
りゅうげつのはり	流月の針
りゅうごろしのえいけつたん	龍殺しの英傑譚
りゅうみんのたに	龍眠の谷
りゅどひか・しゅないつぇふな	リュドヒカ・シュナイツェフナ
りょういのはね	良医の羽
りょうてけん	両手剣
りょどうのけん	旅道の剣
りよんえりあ	リヨンエリア
りりあ	リリア
りりす	リリス
りるのかんししゃ	凛流の監視者
りるぱぁーる	リルパァール
りろーる	リロール
りんぐぼう	リングボウ
りんじほんこう	臨時本坑
りーゆぇ	璃月
りーゆぇこう	璃月港
りーゔぁ	リーヴァ
るか	ルカ
るきなのいずみ	ルキナの泉
るしあん	ルシアン
るね・ど・ぺとりこーる	ルネ・ド・ペトリコール
るぽーととけいてん	ルポート時計店
るみどぅーすのばんか	ルミドゥースの挽歌
るみどぅーすはーばー	ルミドゥースハーバー
るりてい	琉璃亭
るりほう	琉璃峰
るろうがくしょう	流浪楽章
るー	ルー
るーめら	ルーメラ
れいえん	霊淵
れいくかん	霊矩関
れいくのにわ	霊枢の庭
れいじん	冷刃
れいせいせんにく	冷製鮮肉
れいめいのしんけん	黎明の神剣
れいもうさん	霊濛山
れいら	レイラ
れいんどっと	レインドット
れきせんのしゅりょうゆみ	歴戦の狩猟弓
れざー	レザー
れしゅっつのくろっくわーくこうぼう	レシュッツのクロックワーク工房
れっかをわたるけんじゃ	烈火を渡る賢者
れっしぐ・ろーれんす	レッシグ・ローレンス
れっちゅうすなはら	列柱砂原
れっぷうのじゅうしゃ	烈風の従者
れつかいか	烈開花
れつじつのこうし	烈日の後嗣
れもでぃえーる	レモディエール
れりる	レリル
れんじげーじ	レンジゲージ
ろあるて	ロアルテ
ろう	ロウ
ろうが	狼牙
ろうちゃじゅのおか	老茶樹の丘
ろくかのいけ	漉華の池
ろさりあ	ロサリア
ろざりん・くるーずちか・ろーえふぁるた	ロザリン・クルーズチカ・ローエファルタ
ろはうぇい	ロハウェイ
ろまりたいむはーばー	ロマリタイムハーバー
ろれんつぉ	ロレンツォ
ろーうぃっく	ローウィック
ろーかぱーらみつりん	ローカパーラ密林
ろーぜる	ローゼル
ろーでしあ	ローデシア
ろーる	ロール
ろーるふぇーず	ロールフェーズ
わかみず	若水
わかむらさき	若紫
わくかうはま	ワクカウ浜
わすれられしみち	忘れられし道
わたつみじま	海祇島
わはくえん	和璞鳶
わひっど	ワヒッド
わーぐなー	ワーグナー
ゔぁいんしょっと	ヴァインショット
ゔぁざーりかいろう	ヴァザーリ回廊
ゔぁしぇ	ヴァシェ
ゔぁならーな	ヴァナラーナ
ゔぁねっさ	ヴァネッサ
ゔぁるな	ヴァルナ
ゔぁーじる	ヴァージル
ゔぃくとりあ	ヴィクトリア
ゔぃくとる	ヴィクトル
ゔぃくらむ	ヴィクラム
ゔぃしゃっぷけんきゅうじょ	ヴィシャップ研究所
ゔぃしゃっぷ・いわ	ヴィシャップ・岩
ゔぃしゅっだへんど	ヴィシュッダ辺土
ゔぃなやっく	ヴィナヤック
ゔぃまらむら	ヴィマラ村
ゔぃるまんと	ヴィルマント
ゔぇずるふぇるにる	ヴェズルフェルニル
ゔぇにーる	ヴェニール
ゔぇる・ごれっと	ヴェル・ゴレット
ゔぇるー	ヴェルー
ゔぇるーりや・みらーじゅ	ヴェルーリヤ・ミラージュ
ゔぉーとらん	ヴォートラン
