Genshin Impact 2
だまーゔぁんどさん	ダマーヴァンド山
とぅらいとぅーら	トゥライトゥーラ
とぅらいとぅーらのきおく	トゥライトゥーラの記憶
とうえんしゃのひとう	盗炎者の秘島
とうかぼうしぐれ	東花坊時雨
とうきょく	冬極
とうきょくのはくせい	冬極の白星
とうけつ	凍結
ときのくちばし	トキの嘴
ときのすな	時の砂
とっきゅうのほうぎょく	特級の宝玉
とっこう	篤行
とっぱちょうせん	突破挑戦
とやっくげんせんち	トヤック源泉地
とりっくふらわー	トリックフラワー
とりにく	鳥肉
とれじゃーすとりーと	トレジャーストリート
とわりん	トワリン
とんぎょくのおか	遁玉の丘
とーま	トーマ
どぅる・かるないんとうげ	ドゥル・カルナイン峠
どういつげんそ	同一元素
どうけ	道化
どどこのものがたり	ドドコの物語
どらごんすぱいん	ドラゴンスパイン
どらごんすぴあ	ドラゴンスピア
どりー	ドリー
どんせいのくじら	呑星の鯨
どーんまんぽーと	ドーンマンポート
どーんまんぽーと	荊夫港
ながえぶき	長柄武器
なた	ナタ
なな	七七
なのかしゅうれん	七日修練
なひーだ	ナヒーダ
なるかみおおやしろ	鳴神大社
なるかみじま	鳴神島
なんてんもん	南天門
なゔぃあ	ナヴィア
にぃろう	ニィロウ
にじのゆくえ	虹の行方
ぬゔぃれっと	ヌヴィレット
ねっせいのほのお	熱誠の炎
ねっとうもーど	熱闘モード
ねんしょう	燃焼
のえる	ノエル
のこされたしんでんのとむらうば	遺された神殿の弔う場
のぶし	野伏
のぶししゅう	野伏衆
はかせ	博士
はくうしんげん	白雨心弦
はくえいそう	白纓槍
はくえいのけん	白影の剣
はくしんのわ	白辰の輪
はくせきとおうどうのちょうぞう	白石と黄銅の彫像
はくてつのたいけん	白鉄の大剣
はじまりのだいまじゅつ	始まりの大魔術
はすのはなぱい	ハスの花パイ
はてなきこんぺきのうた	果てなき紺碧の唄
はてんのやり	破天の槍
はなしあいぼう	話死合い棒
はまのゆみ	破魔の弓
はらはらとう	ハラハラ島
はらん	波乱
はらんげっぱくふつ	波乱月白経津
はんえい	繁栄
はんえいきゅうとうせいまとりっくす	半永久統制マトリックス
ばいだこう	バイダ港
ばくえんじゅ	爆炎樹
ばくと	博徒
ばっせい	跋掣
ばるそむのおか	バルソムの丘
ばんかのほとぎ	万火のほとぎ
ばんがん	磐岩
ばんがんけつりょく	磐岩結緑
ばんこくしょかいのずふ	万国諸海の図譜
ばんのうげんそ	万能元素
ばんみんどう	万民堂
ばーばら	バーバラ
ぱるでぃすでぃあい	パルディスディアイ
ひうんのおか	緋雲の丘
ひきょう	秘境
ひぎせいでん	秘儀聖殿
ひぎょくほうじゅ	翡玉法珠
ひけい	飛蛍
ひげんきへいはんたーしーかー	秘源機兵・ハンターシーカー
ひじょうのおか	避譲の丘
ひつじのみのいわ	羊呑の岩
ひてんおおみつるぎ	飛天大御剣
ひてんのはこ	秘典の箱
ひてんみつるぎ	飛天御剣
ひでんかーど	秘伝カード
ひまつりのひと	火祭りの人
ひょうけい	氷蛍
ひょうけいじゅつし	氷蛍術師
ひょうせつのじゅうしゃ	氷霜の従者
ひょうふうをさまようゆうし	氷風を彷徨う勇士
ひらい	飛雷
ひらいのめいげん	飛雷の鳴弦
ひるちゃーる	ヒルチャール
ひるちゃーるおうじゃ	ヒルチャール王者
ひるちゃーるぼうと	ヒルチャール暴徒
ひるちゃーるれんじゃー	ヒルチャールレンジャー
ひるちゃーる・いわかぶとのおう	ヒルチャール・岩兜の王
ひるちゃーる・かみなりかぶとのおう	ヒルチャール・雷兜の王
びゃくじゅつ	白朮
ふぁでゅいせんけんたい	ファデュイ先遣隊
ふぁらくけるとのその	ファラクケルトの園
ふぁるざん	ファルザン
ふぁんとむはんたー	ファントムハンター
ふぃっしゅる	フィッシュル
ふぃよるどのうた	フィヨルドの歌
ふうが	風雅
ふうしんのほこ	風信の矛
ふうようけん	風鷹剣
ふうりゅうはいきょ	風龍廃墟
ふえのけん	笛の剣
ふぉんた	フォンタ
ふぉんてーぬ	フォンテーヌ
ふごうのたに	伏鰲の谷
ふしゃ	富者
ふしょくのけん	腐植の剣
ふたふたとう	フタフタ島
ふどうのいわ	不動の岩
ふみつかい	文使い
ふめつのげっか	不滅の月華
ふゆしのびのみ	冬忍びの実
ふらいむ	フライム
ふりーな	フリーナ
ふれみね	フレミネ
ふんさいのこおり	粉砕の氷
ふんじん	焚燼
ふんそう	紛争
ふんりゅうたいれいのけしん	噴流・大霊の化身
ふーたお	胡桃
ぶじん	武人
ぶつり	物理
ぷらいまるこうぞうたい	プライマル構造体
ぷりんとう	プリン島
ぷろすぺくたーどりる	プロスペクタードリル
へいぞう	平蔵
へきすいのはら	碧水の原
へきらくのろう	碧落の瓏
べねっと	ベネット
べびーゔぃしゃっぷ・いわ	ベビーヴィシャップ・岩
べるういんどおうこく	ベルウインド王国
ぺるゔぇーれ	ペルヴェーレ
ほういんのおか	飽飲の丘
ほうき	法器
ほうけつのくち	宝玦の口
ほうじょうのくに	「豊穣の邦」
ほうとういたち	宝盗イタチ
ほうとうだん	宝盗団
ほうろうしゃ	放浪者
ほうろうりょう	奔狼領
ほくと	北斗
ほこやり	鉾槍
ほしおちのたに	星落ちの谷
ほしおとしのみずうみ	星落としの湖
ほしがま・しさく	星鎌・試作
ほしたけ	星茸
ほしひろいのがけ	星拾いの崖
ほたる	蛍
ほのおげんそ	炎元素
ぼうけんしゃ	冒険者
ぼうけんちょうせん	冒険挑戦
ぼうふうかいかく	望風海角
ぼうふうさんち	望風山地
ぼうめいしゃ	亡命者
ぼれあす	ボレアス
ぼろぼろとう	ボロボロ島
ぽけっとまどうしょ	ポケット魔導書
まうてぃーまちゅうりん	マウティーマ稠林
まかいらのみずいろ	マカイラの水色
まがつみたけなるかみのみこと	禍津御建鳴神命
まぐうけんき	魔偶剣鬼
ましなりー	マシナリー
まじっくふらわー	マジックフラワー
ますくしょう	マスク礁
まぞうぷらえとりあに	魔像プラエトリアニ
まぞうれがとぅす	魔像レガトゥス
まっしゅらぷとる	マッシュラプトル
まどうしょろん	魔導緒論
まはーゔぁならーなぱな	マハヴァナラーナパナ
まらーなのけしん	マラーナの化身
まんえつのみ	満悦の実
まんがんのち	万岩の地
まんせいのくさ	蔓生の草
まんせいのけいこく	蔓生の渓谷
まーゔぃか	マーヴィカ
みか	ミカ
みずげんそ	水元素
みずまつりのひと	水祭りの人
みらーめいでん	ミラーメイデン
みんりん	珉林
むあらに	ムアラニ
むこう	無効
むこうのけん	無工の剣
むしょくげんそ	無色元素
むそうのいわ	無相の岩
むそうのかぜ	無相の風
むそうのかみなり	無相の雷
むそうのくさ	無相の草
むそうのこおり	無相の氷
むそうのほのお	無相の炎
むそうのみず	無相の水
むほうのけん	無鋒の剣
むぼうのおか	無妄の丘
むめいいせき	無名遺跡
むーんぴあさー	ムーンピアサー
めいうんちょう	明蘊町
めいえんさん	暝垣山
めいかんきょうこく	明冠峡谷
めいかんさんち	明冠山地
めいどてん	冥途殿
めしつかい	召使
めりゅじーぬ	メリュジーヌ
もううんのつき	曚雲の月
もうじゃきょうろ	亡者狭路
もえさかるほのおのまじょ	燃え盛る炎の魔女
もな	モナ
もほん	模本
もんど	モンド
やえ	八重
やえどう	八重堂
やえみこ	八重神子
やがみのくに	夜神の国
やくちょうのたに	薬蝶の谷
やこん	夜魂
やこんのかご	夜魂の加護
やこんばーすと	夜魂バースト
やざだはいけ	ヤザダハ池
やしおりじま	ヤシオリ島
やしゅちぇのかん	ヤシュチェの環
やすなゆうきょう	ヤスナ幽境
やまがくれのげいじゅう	山隠れの猊獣
やまのおうのちょうが	山の王の長牙
ゆうこうたいせん	友好対戦
ゆうしのこころ	勇士の心
ゆうやのわるつ	幽夜のワルツ
ゆくあき	行秋
ゆみ	弓
ゆみぞう	弓蔵
ゆむかこりゅう	ユムカ仔竜
ゆむかりゅう	ユムカ竜
ゆむかりゅうせんしひばのまるのこ	ユムカ竜戦士・飛葉の丸鋸
ゆむかりゅうせんしめいくうのたいほう	ユムカ竜戦士・鳴空の大砲
ゆめのはやし	夢の林
よいみや	宵宮
ようかい	溶解
ようがんのぞうどしょくしゃ	溶岩の像・土蝕者
ようこうのはま	瑶光の浜
ようへいのじゅうけん	傭兵の重剣
よぉーよ	ヨォーヨ
らいおんごんげん	雷音権現
らいきんのよきょう	来歆の余響
らいけい	雷蛍
らいけいじゅつし	雷蛍術師
らいでん	雷電
らいでんえい	雷電影
らいでんしょうぐん	雷電将軍
らいでんなしょなる	雷電ナショナル
らいれい	雷霊
らざんがーでん	ラザンガーデン
らっか	落霞
らっきーかーどこいん	ラッキーカードコイン
りおせすり	リオセスリ
りかーぶぼう	リカーブボウ
りくつぜめ	理屈責め
りさ	リサ
りしゃこう	璃沙郊
りね	リネ
りねっと	リネット
りゅうけつをあびたけん	龍血を浴びた剣
りゅうげつ	流月
りゅうげつのはり	流月の針
りゅうごろしのえいけつたん	龍殺しの英傑譚
りゅうしょうのしみゃく	硫晶の支脈
りゅうじんのゆうしぐりーすそう	流刃の勇士・グリースソウ
りゅうじんのゆうしじゃべりっくすろわー	流刃の勇士・ジャベリックスロワー
りゅうじんのゆうしゆうげきしゅ	流刃の勇士・遊撃手
りゅうせんのしゅう	「流泉の衆」
りょうてけん	両手剣
りょどうのけん	旅道の剣
りるのかんししゃ	凛流の監視者
りろーる	リロール
りんぐぼう	リングボウ
りんじほんこう	臨時本坑
りーゆぇ	璃月
りーゆぇこう	璃月港
るみどぅーすのばんか	ルミドゥースの挽歌
るりほう	琉璃峰
るろうがくしょう	流浪楽章
れいくかん	霊矩関
れいくのにわ	霊枢の庭
れいじん	冷刃
れいせいせんにく	冷製鮮肉
れいめいのしんけん	黎明の神剣
れいもうさん	霊濛山
れいら	レイラ
れきせんのしゅりょうゆみ	歴戦の狩猟弓
れざー	レザー
れっかをわたるけんじゃ	烈火を渡る賢者
れっちゅうすなはら	列柱砂原
れっぷうのじゅうしゃ	烈風の従者
れつかいか	烈開花
れつじつのこうし	烈日の後嗣
れんじげーじ	レンジゲージ
ろうが	狼牙
ろうちゃじゅのおか	老茶樹の丘
ろくかのいけ	漉華の池
ろさりあ	ロサリア
ろーかぱーらみつりん	ローカパーラ密林
ろーる	ロール
ろーるふぇーず	ロールフェーズ
わかみず	若水
わすれられしみち	忘れられし道
わたつみじま	海祇島
わはくえん	和璞鳶
ゔぁいんしょっと	ヴァインショット
ゔぁならーな	ヴァナラーナ
ゔぃしゃっぷ・いわ	ヴィシャップ・岩
ゔぃしゅっだへんど	ヴィシュッダ辺土
ゔぃまらむら	ヴィマラ村
ゔぇるーりや・みらーじゅ	ヴェルーリヤ・ミラージュ
