Genshin Impact Extra 3
ちぞめのてつかめん	血染めの鉄仮面
ひい	ヒイ
ひいあ	ヒイア
ひいらぎひろし	柊弘嗣
ひえんのゆうきょ	秘炎の幽墟
ひおうえびせんべい	緋櫻えびせんべい
ひおうてんぷら	緋櫻天ぷら
ひおうもち	緋櫻餅
ひからびたほしたけ	ひからびた星茸
ひかりゆらぐけんのつか	光揺らぐ剣の柄
ひぎむら	緋木村
ひげんのこあ	秘源のコア
ひげんのしーす	秘源のシース
ひげんのべありんぐ	秘源のベアリング
ひすいのはーとふぇざーすずき	ヒスイのハートフェザースズキ
ひていとさいけつ	否定と裁決
ひでんのろーすとりぶ	秘伝のローストリブ
ひまつりのかんむり	火祭りの冠
ひもののあみやき	干物の網焼き
ひゃくぶん	百聞
ひゃくらいしゃら	百雷遮羅
ひょうせつをふむおと	氷雪を踏む音
ひょうふうくみきょく	氷風組曲
ひらうみとりで	平海砦
ひらめくおどり	ひらめく踊り
ひるちゃーるしゃーまん	ヒルチャールシャーマン
ひるちゃーるしゃーまん・いわ	ヒルチャールシャーマン・岩
ひるちゃーるしゃーまん・かぜ	ヒルチャールシャーマン・風
ひるちゃーるしゃーまん・かみなり	ヒルチャールシャーマン・雷
ひるちゃーるしゃーまん・くさ	ヒルチャールシャーマン・草
ひるちゃーるしゃーまん・こおり	ヒルチャールシャーマン・氷
ひるちゃーるしゃーまん・みず	ヒルチャールシャーマン・水
ひるちゃーるぼうと・えんふ	ヒルチャール暴徒・炎斧
ひるちゃーるぼうと・がんじゅん	ヒルチャール暴徒・岩盾
ひるちゃーるぼうと・ひょうじゅん	ヒルチャール暴徒・氷盾
ひるちゃーるぼうと・もくじゅん	ヒルチャール暴徒・木盾
ひるちゃーるぼうと・らいふ	ヒルチャール暴徒・雷斧
ひるちゃーる・がんじゅん	ヒルチャール・岩盾
ひるちゃーる・しもよろいのおう	ヒルチャール・霜鎧の王
ひるちゃーる・しゃしゅ	ヒルチャール・射手
ひるちゃーる・せんし	ヒルチャール・戦士
ひるちゃーる・とっしん	ヒルチャール・突進
ひるちゃーる・ばくだん	ヒルチャール・爆弾
ひるちゃーる・ひょうじゅん	ヒルチャール・氷盾
ひるちゃーる・ひょうだん	ヒルチャール・氷弾
ひるちゃーる・もくじゅん	ヒルチャール・木盾
ひるちゃーる・らいだん	ヒルチャール・雷弾
ひろみ	広海
ひわたりのかいほう	火渡りの解放
ひわたりのくるしみ	火渡りの苦しみ
ひわたりのけんじつ	火渡りの堅実
ひわたりのさとり	火渡りの悟り
ひわたりのちえ	火渡りの知恵
びぜると	ビゼルト
びみょうな	微妙な
びゃっこのや	白狐の野
ぴえろ	ピエロ
ぴた	ピタ
ぴりからむしまんじゅう	ピリ辛蒸し饅頭
ぴーちここなっつざい	ピーチココナッツ材
ふぁっしょんしょー	ファッションショー
ふぁでゅいせんけんたい・じゅうえいし・すいじゅう	ファデュイ先遣隊・重衛士・水銃
ふぁでゅいせんけんたい・じゅうえいし・ひょうじゅう	ファデュイ先遣隊・重衛士・氷銃
ふぁでゅいせんけんたい・ぜんぽうぐん・かみなりはんまー	ファデュイ先遣隊・前鋒軍・雷ハンマー
ふぁでゅいせんけんたい・ぜんぽうぐん・ふうけん	ファデュイ先遣隊・前鋒軍・風拳
ふぁでゅいせんけんたい・ゆうげきへい・いわつかい	ファデュイ先遣隊・遊撃兵・岩使い
ふぁでゅいせんけんたい・ゆうげきへい・えんじゅう	ファデュイ先遣隊・遊撃兵・炎銃
ふぁでゅい・でっとえーじぇんと・ほのお	ファデュイ・デットエージェント・炎
ふぁらなく	ファラナク
ふぁるか	ファルカ
ふぁろすとうだい	ファロス灯台
ふぃっしゅあんどちっぷす	フィッシュアンドチップス
ふぃっしゅる・ゔぉん・るふしゅろす・なふぃーどっと	フィッシュル・ヴォン・ルフシュロス・ナフィードット
ふぃなーれのとけい	フィナーレの時計
ふぃんどにーるのちょうじょう	フィンドニールの頂上
ふうがのおしえ	「風雅」の教え
ふうがのてつがく	「風雅」の哲学
ふうがのみちびき	「風雅」の導き
ふうじんひゅっつぽっと	風神ヒュッツポット
ふうまのえまき	封魔の絵巻
ふうまりゅう	風魔龍
ふぇそれ	フェソレ
ふぇどふ	フェドフ
ふぇりぎす	フェリギス
ふぇりっくす・ゆーぐ	フェリックス・ユーグ
ふぇるでぃなんど	フェルディナンド
ふぉかろるすのために	フォカロルスのために
ふぉんてーぬうんどうえねるぎーこうがくかがくけんきゅういんちく	フォンテーヌ運動エネルギー工学科学研究院地区
ふぉんてーぬてい	フォンテーヌ廷
ふぉんてーぬていちく	フォンテーヌ廷地区
ふぉんてーぬふうおにおんすーぷ	フォンテーヌ風オニオンスープ
ふきつなかめん	不吉な仮面
ふきん	浮錦
ふくはうちうどん	福は内うどん
ふくりゅうのきのそこ	「伏龍の木」の底
ふしゃ	浮舎
ふじとうとりで	藤兜砦
ふちんのさかずき	浮沈の杯
ふに	フニ
ふぶきのなかのおもい	吹雪の中の思い
ふぼくろ	不卜廬
ふらいむのかんかく	フライムの乾核
ふらいむのしょうかかく	フライムの晶化核
ふらいむのゆうかく	フライムの幽核
ふらいんぐももんが	フライングモモンガ
ふりかっせ・どぅ・ぷーれ	フリカッセ・ドゥ・プーレ
ふるびたつば	古びた鍔
ふるーつみるくきゃんでぃ	フルーツミルクキャンディ
ふるーてぃーなくしやき	フルーティーな串焼き
ふれいむぐれねーどらんねつ	フレイムグレネード・爛熱
ふれいむぼむざい	フレイムボム材
ふろどらっかー・ふらんけんしゅたいん	フロドラッカー・フランケンシュタイン
ふろぷたちゅーる	フロプタチュール
ふろべーる	フロベール
ふろりあん	フロリアン
ふわふわぱんけーき	ふわふわパンケーキ
ふわふわやぎ	フワフワヤギ
ふんじんのおしえ	「焚燼」の教え
ふんじんのしゃくえんまじょ	焚尽の灼炎魔女
ふんじんのてつがく	「焚燼」の哲学
ふんじんのみちびき	「焚燼」の導き
ふんそうのおしえ	「紛争」の教え
ふんそうのてつがく	「紛争」の哲学
ふんそうのみちびき	「紛争」の導き
ぶうなま	ブウナマ
ぶしこー	ブシコー
ぶじんのしゅき	武人の酒器
ぶじんのはねかざり	武人の羽飾り
ぶたにくのあぶらいため	豚肉の油炒め
ぶたにくのとうがらしいため	豚肉の唐辛子炒め
ぶらうど	ブラウド
ぶらうんでぃあ	ブラウンディア
ぶるきな	ブルキナ
ぶれっそん	ブレッソン
ぶれんのたましい・こえい	武煉の魂・孤影
ぶろーちく	ブロー地区
ぶんしんどうふ	文心豆腐
ぶんぶん	ブンブン
ぷかぷかくさきのこん	プカプカ草キノコン
ぷかぷかみずきのこん	プカプカ水キノコン
ぷくぷくあいすくりーむ	プクプクアイスクリーム
ぷくぷくしゅーくりーむ	プクプクシュークリーム
ぷくぷくじゅう	プクプク獣
ぷらいまるこうぞうたい・さいこうちく	プライマル構造体・再構築
ぷらいまるこうぞうたい・じゅうりょくばはっせいき	プライマル構造体・重力場発生器
ぷらいまるこうぞうたい・たんさき	プライマル構造体・探査機
ぷるちねっら	プルチネッラ
ぷる・ら・じゃすてぃす	プル·ラ·ジャスティス
ぷる・ら・じゃすてぃす	プル・ラ・ジャスティス
ぷれいず・みーとしちゅー	プレイズ・ミートシチュー
ぷーか	プーカ
へいあん	平安
へうりあ	ヘウリア
へでぃーゔ・ぷるしな	ヘディーヴ・プルシナ
へびがみのくび	蛇神の首
へるたー	ヘルター
へんいかみなりすらいむ	変異雷スライム
へんこうぷりずむ	偏光プリズム
べっしーちきん	ベッシーチキン
べと	ベト
べねってぃ	ベネッティ
べりるちく	ベリル地区
べろにか	ベロニカ
ぺとりこーるちょう	ペトリコール町
ぺれ・ぬい	ペレ・ヌイ
ほいーる	ホイール
ほうじょうのねがい	豊穣の願い
ほうとういたち・おうごん	宝盗イタチ・黄金
ほうとういたち・しんまい	宝盗イタチ・新米
ほうとういたち・ちゅうけん	宝盗イタチ・中堅
ほうとうだん・うみのだんじ	宝盗団・海の男児
ほうとうだん・かみなりのやくざいし	宝盗団・雷の薬剤師
ほうとうだん・けんじゅつか	宝盗団・拳術家
ほうとうだん・こおりのやくざいし	宝盗団・氷の薬剤師
ほうとうだん・ざっぷ	宝盗団・雑夫
ほうとうだん・せっこう	宝盗団・斥候
ほうとうだん・とうくつしゃ	宝盗団・盗掘者
ほうとうだん・ふんさいしゃ	宝盗団・粉砕者
ほうとうだん・ほのおのやくざいし	宝盗団・炎の薬剤師
ほうとうだん・みずのやくざいし	宝盗団・水の薬剤師
ほうとうだん・ゆみつかい	宝盗団・弓使い
ほうりつここにあり	法律ここにあり
ほうろうのりょうしゅ	奔狼の領主
ほくちのすもーくちきん	北地のスモークチキン
ほくちのりんごとにくのにこみ	北地のリンゴと肉の煮込み
ほしほたるのどうくつ	星蛍の洞窟
ほしょくぞうしょくせいめいたい	捕食増殖生命体
ほっせいに	ホッセイニ
ほのお1	炎1
ほのおいち	炎1
ほのおすらいむ	炎スライム
ほのおふらいむ	炎フライム
ほふまん・しゅみっと	ホフマン・シュミット
ほるとぅす・ゆーげれてぃす	ホルトゥス・ユーゲレティス
ほれろう	ホレロウ
ほわいとあっしゅざい	ホワイトアッシュ材
ほわいとおーくざい	ホワイトオーク材
ほわいとそーすぽとふ	ホワイトソースポトフ
ほーるじー	ホールジー
ぼうえいぞうしょくせいめいたい	防衛増殖生命体
ぼうきゃくのきょうこく	忘却の峡谷
ぼうけんしゃえっぐばーがー	冒険者エッグバーガー
ぼうしくらげ	ボウシクラゲ
ぼうじょりょかん	望舒旅館
ぼうふうのたね	暴風の種
ぼうめいしゃのかいちゅうどけい	亡命者の懐中時計
ぼうめいしゃのかんむり	亡命者の冠
ぼうめいしゃのこっぷ	亡命者のコップ
ぼうめいしゃのはな	亡命者の花
ぼうめいしゃのはね	亡命者の羽根
ぼうろうむら	望瀧村
ぼえてぃうす	ボエティウス
ぼだいじゅざい	菩提樹材
ぼよよんいわきのこん	ボヨヨン岩キノコン
ぼよよんかぜきのこん	ボヨヨン風キノコン
ぼよよんほのおきのこん	ボヨヨン炎キノコン
ぼろぼろのはいきょ	ぼろぼろの廃墟
ぼーもんとこうぼう	ボーモント工房
ぽうる	ポウル
ぽぎぎ	ポギギ
ぽこぽこびーにー	ポコポコビーニー
ぽちち	ポチチ
ぽてとぼーと	ポテトボート
ぽとん	ポトン
ぽにに	ポニニ
ぽぽらーの	ポポラーノ
ぽわそんしーふーどすーぷ	ポワソンシーフードスープ
ぽわそんちゃんてぃー・ぱい	ポワソンチャンティー・パイ
ぽわそんちょう	ポワソン町
ぽわそんとんねる	ポワソントンネル
ぽんせ	ポンセ
ぽんぷ	ポンプ
ぽーとふうとりっぷ	ポート風トリップ
ぽーと・まるこっと	ポート・マルコット
まいやるで	マイヤルデ
まおうのやいば・ざんぺん	魔王の刃・残片
まぐうのしん	魔偶の芯
まぐろのにぎりずし	マグロの握り寿司
まこと	眞
まさのり	「公義」
まさのり	公義
まさらちーずぼーる	マサラチーズボール
ましなりー・えんざんりょくぞうふくき	マシナリー・演算力増幅器
ましなりー・きびんさいしゅうがた	マシナリー・機敏採集型
ましなりー・くいきけいかいがた	マシナリー・区域警戒型
ましなりー・すいちゅうかんそくがた	マシナリー・水中観測型
ましなりー・すいちゅうじゅんゆうがた	マシナリー・水中巡遊型
ましなりー・ちしつたんちがた	マシナリー・地質探知型
ましなりー・ていさつきろくがた	マシナリー・偵察記録型
ましーら	マシーラ
まじっくすぺしゃる	マジックスペシャル
まじょのこころのほのお	魔女の心の炎
まじょのはめつのとき	魔女の破滅の時
まじょのほのおのはな	魔女の炎の花
まじょのほのおのはね	魔女の炎の羽根
まじょばあさん	魔女婆さん
