;; okuri-ari entries.
;; okuri-nasi entries.
えるまいとりょだん・そーどだんさー /エルマイト旅団・ソードダンサー/
えるまいとりょだん・でいさんだー /エルマイト旅団・デイサンダー/
えるまいとりょだん・ふろーらるりんぐだんさー /エルマイト旅団・フローラルリングダンサー/
えるまいとりょだん・べくどこるばん /エルマイト旅団・ベクドコルバン/
えるまいとりょだん・らいんぶれいかー /エルマイト旅団・ラインブレイカー/
えるみん /エルミン/
えれいん /エレイン/
えれぼす /エレボス/
えんかくのとう /縁覚の塔/
えんがんのあげーと /炎願のアゲート/
えんがんのあげーと・かけら /炎願のアゲート・欠片/
えんがんのあげーと・かたまり /炎願のアゲート・塊/
えんがんのあげーと・さいせつ /炎願のアゲート・砕屑/
えんこうのうき /淵光の羽鰭/
えんしぇんとゔぃしゃっぷ・いわ /エンシェントヴィシャップ・岩/
えんじょう /淵上/
えんたい /遠黛/
えんどらー /エンドラー/
えーじぇんとのかたな /エージェントの刀/
おあしすがーでんのあいし /オアシスガーデンの哀思/
おあしすがーでんのおんけい /オアシスガーデンの恩恵/
おあしすがーでんのしんたい /オアシスガーデンの真諦/
おあしすがーでんのついおく /オアシスガーデンの追憶/
おいしそうな /美味しそうな/
おいなかいがん /オイナ海岸/
おうごん /黄金/
おうごんがに /黄金ガニ/
おうごんのおしえ /「黄金」の教え/
おうごんのじゃんぼちきん /黄金のジャンボチキン/
おうごんのてつがく /「黄金」の哲学/
おうごんのみちびき /「黄金」の導き/
おうじつのうみ /往日の海/
おうたつ /応達/
おおがたいわすらいむ /大型岩スライム/
おおがたかぜすらいむ /大型風スライム/
おおがたかみなりすらいむ /大型雷スライム/
おおがたがれきぶりーちゃーぷりむす /大型瓦礫ブリーチャープリムス/
おおがたきょうまんぶりーちゃーぷりむす /大型狂蔓ブリーチャープリムス/
おおがたくさすらいむ /大型草スライム/
おおがたこおりすらいむ /大型氷スライム/
おおがたほのおすらいむ /大型炎スライム/
おおがたみずすらいむ /大型水スライム/
おおわんのおちゃ /大椀のお茶/
おぐず /オグズ/
おこのみやき /お好み焼き/
おこめぷりん /お米プリン/
おず /オズ/
おずゔぁるど・らふなゔぃねす /オズヴァルド・ラフナヴィネス/
おせる /オセル/
おそうぇ /オソウェ/
おたべください /お食べくだ菜/
おとぎざい /御伽材/
おにかぶとむし /オニカブトムシ/
おにぎり /おにぎり/
おにくたっぷりずし /お肉たっぷり寿司/
おにくとやさいのしちゅー /お肉と野菜のシチュー/
おにくまる /御肉丸/
おむらいす /オムライス/
おむらいす・わるつ /オムライス・ワルツ/
おもいつのぶえ /重い角笛/
おりじなるりょうり /オリジナル料理/
おるこ /オルコ/
おれぐ /オレグ/
おれたけんのつか /折れた剣の柄/
おれんじきし /橙色騎士/
おろばし /オロバシ/
おろばしのみこと /オロバシノミコト/
おんせんたいむ /温泉タイム/
おんだんせんれい /温暖仙霊/
おーがすたす・らゔれす /オーガスタス・ラヴレス/
おーしゃんじゅんかいほうかん /オーシャン巡回法官/
おーともんたーにゅ /オートモンターニュ/
おーびっく /オービック/
おーれる /オーレル/
かいじんのこころ /灰燼の心/
かいそう /海草/
かいらぎ・えんい /海乱鬼・炎威/
かいらぎ・らいとう /海乱鬼・雷騰/
かいりついん /諧律院/
かうさ /カウサ/
かうとりや /カウトリヤ/
かうふ /カウフ/
かうる /カウル/
かえでざい /楓材/
かおりたかい /香り高い/
かおりまじりあうふうみ /香り交じり合う風味/
かかた /カカタ/
かかまま /カカママ/
かがやくだいや /輝くダイヤ/
かくちくのおしえ /「角逐」の教え/
かくちくのてつがく /「角逐」の哲学/
かくちくのみちびき /「角逐」の導き/
かげうちのつば /影打の鍔/
かげきじょう /歌劇場/
かげろうまる /影狼丸/
かこくのやみじ /河谷の闇路/
かさがら /カサガラ/
かしん /花神/
かしんきぞうみっきゅう /華清帰蔵密宮/
かじぇ /カジェ/
かじんろういちしんくん /歌塵浪市真君/
かすみいろのほうじゅ /霞色の宝珠/
かずーが /カズーガ/
かぜしょうちょう /風晶蝶/
かぜすらいむ /風スライム/
かぜのあくりょう /風の悪霊/
かぜふらいむ /風フライム/
かたいどうのこんぱす /堅い銅のコンパス/
かたりな /カタリナ/
かちがんしゅう /華池岩岫/
かっしおどる /カッシオドル/
かつさんど /カツサンド/
かつりょくにゃんこめし /活力にゃんこ飯/
かなたにあるしょうじょのこころ /彼方にある少女の心/
かに /カニ/
かにのばたーぞえ /カニのバター添え/
かにみそこうらやき /かにみそ甲羅焼き/
かにみそとはむのぐりるやさい /かにみそとハムのグリル野菜/
かにみそどうふ /かにみそ豆腐/
かのてぃら /カノティラ/
かばざい /樺材/
かぱっちり /カパッチリ/
かぴたーの /カピターノ/
かぴばら /カピバラ/
かふな /カフナ/
かぺー /カペー/
かま /カマ/
かみさとやしき /神里屋敷/
かみなりうちのうつわ /雷討ちの器/
かみなりうちのかんむり /雷討ちの冠/
かみなりうちのこころ /雷討ちの心/
かみなりうちのとき /雷討ちの刻/
かみなりうちのはね /雷討ちの羽根/
かみなりしょうちょう /雷晶蝶/
かみなりすらいむ /雷スライム/
かみなりふらいむ /雷フライム/
かみなりまつりのかんむり /雷祭りの冠/
かみなりをよぶかんむり /雷を呼ぶ冠/
かめいむねひさ /亀井宗久/
かもにくのこんふぃ /鴨肉のコンフィ/
かもむねにくのおれんじそーすそてー /鴨胸肉のオレンジソースソテー/
からふるふぉれすと /カラフルフォレスト/
からふるまかろん /カラフルマカロン/
からぼす /カラボス/
からむる /カラムル/
かりうどのあおみどりいろのやばね /狩人の青緑色の矢羽/
かりかりくろわっさん /カリカリクロワッサン/
かりかりちきんばーがー /カリカリチキンバーガー/
かりのしゅうかく /狩りの収穫/
かりぶでぃすとりであと /カリュブディス砦跡/
かりべると /カリベルト/
かりべると・あるべりひ /カリベルト・アルベリヒ/
かりろえー /カリロエー/
かるぴりあ /カルピリア/
かれい /花霊/
かれぬきぬのはな /枯れぬ絹の花/
かれーしゅりむぷ /カレーシュリムプ/
かろれ /カロレ/
かろん /カロン/
かんじゅくとまとのみーとそーす /完熟トマトのミートソース/
かんなざん /カンナ山/
かんな・かぱっちり /カンナ・カパッチリ/
かんほうてっき /寒鋒鉄器/
かんろかげろう /甘露カゲロウ/
かんろのいけ /甘露の池/
かーたー・しぇるびうす /カーター・シェルビウス/
かーりゃ /カーリャ/
かーる・いんごるど /カール・インゴルド/
かーれす /カーレス/
かーんるいあのごだいつみびと /カーンルイアの「五大罪人」/
がいあ・あるべりひ /ガイア・アルベリヒ/
がいかいのしなぷす /外界のシナプス/
がいがっくす /ガイガックス/
がくしゃのこっぷ /学者のコップ/
がくしゃのしおり /学者のしおり/
がくしゃのとけい /学者の時計/
がくしゃのはねぺん /学者の羽根ペン/
がくしゃのれんず /学者のレンズ/
がくだんのあさのひかり /楽団の朝の光/
がるしあ /ガルシア/
がるびびだむ /ガルビビダム/
がれきぶりーちゃーぷりむす /瓦礫ブリーチャープリムス/
がんじょうちゃしつ /岩上茶室/
がーどどっぐ /ガードドッグ/
がーりっくばげっと /ガーリックバゲット/
きいろのせんりょう /黄色の染料/
きえゆくろうへい /「消えゆく老兵」/
きえゆくろうへい /消えゆく老兵/
きえん /喜炎/
きかいのこあはぐるま /奇械のコア歯車/
きかいぶひん・こっぺりあ /奇械部品・コッペリア/
きかいぶひん・こぺりうす /奇械部品・コペリウス/
きげんおあしすのしゅごしゃ /起源オアシスの守護者/
きげんのにわ /帰元ノ庭/
きこうのひらはぐるま /機構の平歯車/
きさく /奇策/
きしがちにそめたとき /騎士が血に染めた時/
きしゅう /帰終/
きせいしんふぉにー /祈聖シンフォニー/
きせいひきょう /祈聖秘境/
きたかぜのしっぽ /北風のしっぽ/
きたかぜのりんぐ /北風のリング/
きたくにぎんこう /北国銀行/
きっこうちゅう /吉光虫/
きつねさいぐう /狐斎宮/
きぬおりのはね /絹織りの羽/
きのこ /キノコ/
きのこのくりーむすーぷ /きのこのクリームスープ/
きのこぴざ /キノコピザ/
きのこんのすいきんかく /キノコンの衰菌核/
きのこんのそうきんかく /キノコンの壮菌核/
きのこんのほうし /キノコンの胞子/
きのこんのみんきんかく /キノコンの眠菌核/
きばんく /キバンク/
きほんぞうしょくせいめいたい /基本増殖生命体/
きぼうのこころ /祈望の心/
きぼうのみち /希望の道/
きゃくさざい /却砂材/
きゃさりん /キャサリン/
きゃたぴらー /キャタピラー/
きゅうきぞくのかめん /旧貴族の仮面/
きゅうきぞくのぎんびん /旧貴族の銀瓶/
きゅうきぞくのとけい /旧貴族の時計/
きゅうきぞくのはな /旧貴族の花/
きゅうきぞくのはね /旧貴族の羽根/
きゅうしいっしょうのやきざかな /九死一生の焼き魚/
きゅーぶとりっく /キューブトリック/
きょうかんのかいちゅうどけい /教官の懐中時計/
きょうかんのてぃーかっぷ /教官のティーカップ/
きょうかんのはなかざり /教官の花飾り/
きょうかんのはねかざり /教官の羽飾り/
きょうかんのぼうし /教官の帽子/
きょうじゃのみちのり /強者の道のり/
きょうせんしのかめん /狂戦士の仮面/
きょうせんしのこっぷ /狂戦士のコップ/
きょうせんしのとけい /狂戦士の時計/
きょうせんしのはね /狂戦士の羽根/
きょうせんしのばら /狂戦士の薔薇/
きょうまんぶりーちゃーぷりむす /狂蔓ブリーチャープリムス/
きょうらんのせいしゅのあわれ /狂乱の聖主の哀れ/
きょうらんのせいしゅのしんめん /狂乱の聖主の神面/
きょうらんのせいしゅのふはい /狂乱の聖主の腐敗/
きょうらんのせいしゅのようぼう /狂乱の聖主の溶貌/
きょくけいつうゆうのところ /曲径通幽の処/
きょさんじんりのところ /墟散人離の処/
きりうつろのかふん /霧虚ろの花粉/
きりうつろのそうのう /霧虚ろの草嚢/
きりうつろのとうしん /霧虚ろの灯芯/
きりのゆうりんどう /霧の幽林道/
きりや /キリヤ/
きわみのひとつり /極みの一釣り/
きんぎょそう /キンギョソウ/
きんぐでしぇれと /キングデシェレト/
きんじゅのえまき /禁呪の絵巻/
きんどうのひどけい /金銅の日時計/
きんめっきのこさーじゅ /金メッキのコサージュ/
きんもんのきざまれたげんかく /金紋の刻まれた源核/
きんろうのおしえ /「勤労」の教え/
きんろうのてつがく /「勤労」の哲学/
きんろうのみちびき /「勤労」の導き/
ぎめる /ギメル/
ぎゅうにゅう /牛乳/
ぎょううんのりんこう /凝雲の鱗甲/
ぎょうけつのはな /凝結の華/
ぎょくけいだい /玉京台/
ぎょくこうちゅう /玉光虫/
ぎょくごうがめ /玉璜ガメ/
ぎょくごうこがめ /玉璜古ガメ/
ぎょこうとーすと /魚香トースト/
ぎょにくのやきめん /魚肉の焼き麺/
ぎんゆうしゃのすいとう /吟遊者の水筒/
くいく /クイク/
くいみ /クイミ/
くさしょうちょう /草晶蝶/
くさすらいむ /草スライム/
くさふらいむ /草フライム/
くさぶしのいえ /草臥の家/
くしやきさんしゅ /串焼き三種/
くじゃくざい /孔雀材/
くじょうじんや /九条陣屋/
くじらいぼうや /鯨井坊や/
くじらいもみじ /鯨井椛/
くせら /クセラ/
くだけたいしのけっぺん /砕けた意思の欠片/
くだけたけんのつか /砕けた剣の柄/
くなっく /クナック/
くにくずし /国崩/
くびながらいの /クビナガライノ/
くもかくしだま /雲隠し玉/
くりすたるびーとる /クリスタルビートル/
くりんぐそる /クリングソル/
くりーゔ /クリーヴ/
くるせびな /クルセビナ/
くれいとぽん /クレイトポン/
くれーむくれーぷしゅぜっと /クレームクレープシュゼット/
くろせすずきのからとおがらしにこみ /黒背スズキの唐辛子煮込み/
くんじゅ /クンジュ/
ぐぅおぱぁー /グゥオパァー/
ぐぐぷらむのじゅーす /ググプラムのジュース/
ぐざゔぃえ /グザヴィエ/
ぐすれっど /グスレッド/
ぐっどうぃん /グッドウィン/
ぐらーぶ /グラーブ/
ぐるぐるかみなりきのこん /グルグル雷キノコン/
ぐるぐるこおりきのこん /グルグル氷キノコン/
ぐるぐるほのおきのこん /グルグル炎キノコン/
ぐれいんかっぷ /グレインカップ/
ぐれいんちっぷす /グレインチップス/
ぐれいん・ぽそれ /グレイン・ポソレ/
ぐれんが /紅蓮蛾/
ぐろーりー /グローリー/
けいぎょくかとう /瓊玉果湯/
けいさくかていりょうり /軽策家庭料理/
けいさくのうかりょうり /軽策農家料理/
けいた /ケイタ/
けいわ /荊和/
けうらに /ケウラニ/
けえほ /ケエホ/
けっとうのたましい /決闘の魂/
けつぎょくのえだ /血玉の枝/
けものにくしちゅー /獣肉シチュー/
けものにくのびりやに /獣肉のビリヤニ/
けんこんもらみーと /乾坤モラミート/
けんごなはいこつ /堅固な背骨/
けんさかんのかたな /検査官の刀/
けんじゃ /賢者/
けんじゅんじゅうこうやどかに /堅盾重甲ヤドカニ/
けんぞうとっかがたましなりー /建造特化型マシナリー/
けんとうしのがいせん /剣闘士の凱旋/
けんとうしのきちゃく /剣闘士の帰着/
けんとうしのきぼう /剣闘士の希望/
けんとうしのみれん /剣闘士の未練/
けんとうしのめいてい /剣闘士の酩酊/
けんろうなとぱーず /堅牢なトパーズ/
けんろうなとぱーず・かけら /堅牢なトパーズ・欠片/
けんろうなとぱーず・かたまり /堅牢なトパーズ・塊/
けんろうなとぱーず・さいせつ /堅牢なトパーズ・砕屑/
けーなう /ケーナウ/
げっこうのうき /月光の羽鰭/
げつかいてい /月海亭/
げつき /玥輝/
げんがんのとう /玄岩の塔/
げんきおべんとう /元気お弁当/
げんけいあひる /幻形アヒル/
げんけいあひる・みず /幻形アヒル・水/
げんけいいのしし /幻形イノシシ/
げんけいいのしし・みず /幻形イノシシ・水/
げんけいかに /幻形カニ/
げんけいかに・みず /幻形カニ・水/
げんけいりす /幻形リス/
げんけいりす・みず /幻形リス・水/
げんしょう /言笑/
げんしょのあのかた /原初のあの方/
げんしょのおあしすのはつざき /原初のオアシスの初咲き/
げんしょのさと /原初の郷/
げんそせいめい /元素生命/
げんそばなのみつ /原素花の蜜/
げんどうりんご /玄冬林檎/
げーたーきんぐ /ゲーターキング/
げーて /ゲーテ/
こいつはどうだけ /コイツハドウダケ/
こううんのおすそわけ /幸運のおすそわけ/
こうけんとっかがたましなりー /攻堅特化型マシナリー/
こうこひゃくみ /江湖百味/
こうさいせんれい /光彩仙霊/
こうしょう /候章/
こうしんりょう /香辛料/
こうじょうからくりのしん /恒常からくりの芯/
こうそうのおしえ /「抗争」の教え/
こうそうのてつがく /「抗争」の哲学/
こうそうのみちびき /「抗争」の導き/
こうとうのおうのかわら /高塔の王の瓦/
こうとうのおうのくだけたゆめ /高塔の王の砕けた夢/
こうとうのおうのざんぺき /高塔の王の残壁/
こうとうのおうのだんぺん /高塔の王の断片/
こうはくじゅざい /コウハクジュ材/
こうへいのおしえ /「公平」の教え/
こうへいのてつがく /「公平」の哲学/
こうへいのみちびき /「公平」の導き/
こうろいってんゆき /紅炉一点雪/
こうんかんりんのきがん /孤雲寒林の輝岩/
こうんかんりんのこうさ /孤雲寒林の光砂/
こうんかんりんのしんたい /孤雲寒林の神体/
こうんかんりんのせいがい /孤雲寒林の聖骸/
こうんりょうしょうのところ /孤雲凌霄の処/
こおおかみ /子オオカミ/
こおらう /コオラウ/
こおりしょうちょう /氷晶蝶/
こおりすらいむ /氷スライム/
こおりのじょこう /氷の女皇/
こおりふらいむ /氷フライム/
こおりまつりのかんむり /氷祭りの冠/
こおりをくだくしゅうねん /氷を砕く執念/
こくしょうのつのぶえ /黒晶の角笛/
こくじゃきし・さいがんのおの /黒蛇騎士・砕岩の斧/
こくじゃきし・ざんぷうのけん /黒蛇騎士・斬風の剣/
こくどうのつのぶえ /黒銅の角笛/
こくぽん /コクポン/
こくやのちょうこく /黒夜の彫刻/
こげたまじょのぼうし /焦げた魔女の帽子/
こすてりつきー /コステリツキー/
こすんつぁーな /コスンツァーナ/
こせきむら /越石村/
こちゅうのうぃーぴんぐうぃろー /湖中のウィーピングウィロー/
こっぺりあのそうそう /コッペリアの葬送/
ことしのやばね /琴師の矢羽/
こふうなせいほうのでーつなん /古風な製法のデーツナン/
こへんのににあん /湖辺のニニアン/
こへんのゔぃゔぃあん /湖辺のヴィヴィアン/
こぺりうすのごうばつ /コペリウスの劫罰/
こむぎ /小麦/
こむぎこ /小麦粉/
こめまんじゅう /米まんじゅう/
こもれちゃや /木漏茶屋/
こもんき /コモンキ/
こよぱ /コヨパ/
ころたーる・あるべりひ /コロタール・アルベリヒ/
ころんびーな /コロンビーナ/
こんがまとー /コンガマトー/
こんじゃくげきがのあくい /今昔劇画の悪尉/
こんじゃくげきがのきじん /今昔劇画の鬼人/
こんじゃくげきがのこが /今昔劇画の虎牙/
こんじゃくげきがのせきかく /今昔劇画の隻角/
こんそめすーぷ /コンソメスープ/
こんだに /紺田煮/
こんだむら /紺田村/
こんとんすとれーじ /混沌ストレージ/
こんとんのかいろ /混沌の回路/
こんとんのきかん /混沌の機関/
こんとんのしんがん /混沌の真眼/
こんとんのそうち /混沌の装置/
こんとんのちゅうすう /混沌の中枢/
こんとんのろしん /混沌の炉心/
こんとんぼると /混沌ボルト/
こんとんもじゅーる /混沌モジュール/
こーうぇる /コーウェル/
こーひーまめ /コーヒー豆/
ごきゅうさんしきえいようしょく /五九三式栄養食/
ごくあくき /極悪騎/
ごくえんのちょう /獄炎の蝶/
ごごのぱんけーき /午後のパンケーキ/
ごだいおあしすのでんどう /五大オアシスの殿堂/
ごっかんのこあ /極寒のコア/
ごほうつけもの /五宝漬物/
ごりこふ /ゴリコフ/
ごーるどのからすまーく /ゴールドの鴉マーク/
さいけいせっせんのところ /細径折旋の処/
さいこうのちえ・せいかつ /最高の知恵・生活/
さいしょうのあめしすと /最勝のアメシスト/
さいしょうのあめしすと・かけら /最勝のアメシスト・欠片/
さいしょうのあめしすと・かたまり /最勝のアメシスト・塊/
さいしょうのあめしすと・さいせつ /最勝のアメシスト・砕屑/
さかなとだいこんのにこみ /魚とダイコンの煮込み/
さかなのくりーむそーす /魚のクリームソース/
さかなのみんとそーすぐりる /魚のミントソースグリル/
さくげつちくようしんくん /削月築陽真君/
さくめいげんようのさかい /錯迷幻杳の境/
さけにつけたぼうし /酒に漬けた帽子/
さしみのもりあわせ /刺身の盛り合わせ/
さそり /サソリ/
さっざまん・ふーまい /サッザマン・フーマイ/
さでぃーふ /サディーフ/
さぼーん /サボーン/
さみえる /サミエル/
さみしいばしょ /「さみしい場所」/
さむぞらのくぎ /寒天の釘/
さもさ /サモサ/
さらしあうなばら /サラシア海原/
さりゅうのにわ /砂流ノ庭/
さるさ /サルサ/
さろんめんばー /サロンメンバー/
さんかんゆうこく /山間幽谷/
さんがやき /さんが焼き/
さんごのみや /珊瑚宮/
さんしょくだんご /三色団子/
さんせきのみまもり /山脊の見守り/
さんどろーね /サンドローネ/
さんはじ /サンハジ/
さんばいよい /三杯酔/
さーちぇん /サーチェン/
さーんどるがわ /サーンドル河/
ざいかのしゅうまつ /罪禍の終末/
ざいとぅんとう /ザイトゥン桃/
ざいん /ザイン/
ざかんのやたい /ザカンの屋台/
ざははでぃ /ザハハディ/
ざまらん /ザマラン/
ざんかのとうそく /残火の灯燭/
しいくぞうしょくせいめいたい /飼育増殖生命体/
しぇいくずばいる /シェイクズバイル/
しぇーんぶるん /シェーンブルン/
しおんうんげい /紫苑雲霓/
しかんのきしょう /士官の記章/
しがせんしのかせ /獅牙戦士の枷/
しがせんしのくさり /獅牙戦士の鎖/
しがせんしのてじょう /獅牙戦士の手錠/
しがせんしのりそう /獅牙戦士の理想/
