Genshin Impact Extra 1
ああるこしゃり	アアルコシャリ
あらんから	アランカラ
あらんがる	アランガル
あらんこんてぃ	アランコンティ
あらんさか	アランサカ
あらんしゃくん	アランシャクン
あらんださ	アランダサ
あらんだーしゃ	アランダーシャ
あらんちゃんとら	アランチャントラ
あらんなが	アランナガ
あらんなきん	アランナキン
あらんなくら	アランナクラ
あらんはどぅ	アランハドゥ
あらんばりか	アランバリカ
あらんぱかてぃ	アランパカティ
あらんぱす	アランパス
あらんぱんどぅ	アランパンドゥ
あらんふぁら	アランファラ
あらんま	アランマ
あらんみなり	アランミナリ
あらんむふくんだ	アランムフクンダ
あらんらきゃ	アランラキャ
あらんらじゃ	アランラジャ
あらんらな	アランラナ
あらんろひた	アランロヒタ
あらん・ぎよたん	アラン・ギヨタン
ありす	アリス
ある	亜琉
あるえ	アルエ
あるけうむ	アルケウム
あるた・せみた	アルタ・セミタ
あれそ	アレソ
あれふ	アレフ
あろむ	アロム
あわあわたつのこ・おす	アワアワタツノコ・オス
あん	アン
あんかいのちょうこく	暗晦の彫刻
あんしえた	アンシエタ
あんしょくぷりずむ	暗色プリズム
あんでしゅどってる	アンデシュドッテル
あんとはー	アントハー
あんとん・めるにこふ	アントン・メルニコフ
あんとーん・ろじゃー	アントーン・ロジャー
あんにんどうふ	杏仁豆腐
あんみんのち	安眠の地
あんみんへのでざいあ	安眠へのデザイア
あんり	アンリ
あーもんど	アーモンド
あーらゔ	アーラヴ
あーりやでーば	アーリヤデーバ
あーるどらー	アールドラー
いぇれーな	イェレーナ
いぇん	イェン
いぇんどぅしぇん	腌篤鮮
いおろい	五百蔵
いかいせいめいたいのこあ	異界生命体のコア
いかいのかたまり	異海の塊
いかいのつゆ	異海の露
いかいのよかげ	異界の余影
いかんのきしょう	尉官の記章
いくなる	イクナル
いくんのはな	偉勲の花
いけのなかにあるていたく	池の中にある邸宅
いしょうどうてんしんくん	移霄導天真君
いすたろと	イスタロト
いせきせんめつしゃ	遺跡殲滅者
いせきていさつしゃ	遺跡偵察者
いせきぼうえいしゃ	遺跡防衛者
いたれりつくせり	至れり尽くせり
いでぃあ	イディア
いどりし	イドリシ
いなずまじょう	稲妻城
いなや	イナヤ
いなーむ	イナーム
いにしえのちょうぼうだい	古の眺望台
いのしし	イノシシ
いのししぷりんせす	イノシシプリンセス
いふぁ	イファ
いぷししますのとう	イプシシマスの塔
いみしゅ	イミシュ
いよーば	イヨーバ
いりやーす	イリヤース
いる・ふろったんと	イル・フロッタント
いろあせたあかいきぬ	色褪せた赤い絹
いろあせたげきじょう	色褪せた劇場
いろあせたしろ	色褪せた城
いろがわりのけっしょう	色変わりの結晶
いろっく	イロック
いわしょうちょう	岩晶蝶
いわすらいむ	岩スライム
いわふらいむ	岩フライム
いんじゃのおう・どあーちゅ	隠者の王・ドアーチュ
いんねんのたま	陰燃の珠
いゔす	イヴス
いーすと・えすすさんろく	イースト・エスス山麓
いーすと・おとんぬき	イースト・オトンヌキ
うぃからたいしょうやど	ウィカラ隊商宿
うぃんがれっとごう	ウィンガレット号
うぇすと・おとんぬき	ウェスト・オトンヌキ
うぇんつぁい	ウェンツァイ
うぉるじー	ウォルジー
うきせいこう	雨奇晴好
うきよのおしえ	「浮世」の教え
うきよのてつがく	「浮世」の哲学
うきよのみちびき	「浮世」の導き
うくんが	ウクンガ
うぐいす	鶯
うしお	丑雄
うちょうのとう	有頂の塔
うっすー	ウッスー
うどん	うどん
うなぎのかばやき	うなぎの蒲焼
うなちゃづけ	うな茶漬け
うまうましゃわるまさんど	ウマウマシャワルマサンド
うまれたてのだくすいげんれい	生まれたての濁水幻霊
うみどりのひとやすみ	海鳥の一休み
うゆうてい	烏有亭
うらないのえまき	占いの絵巻
うらにあこ	ウラニア湖
うらんた	ウランタ
うりんさらだ	雨林サラダ
うる	ウル
うるまん	ウルマン
うーうーぶどう	ウーウーブドウ
うーうーぶどう	ウーウーブドウ
うーししょう	卯師匠
えいえんなるしんこう	永遠なる信仰
えいぞくこあ	永続コア
えいびす	エイビス
えいようたっぷりばらんすしょく	栄養たっぷりバランス食
えいりなやさき	鋭利な矢先
えうるあ・ろーれんす	エウルア・ローレンス
えくちゅあ	エクチュア
えげりあ	エゲリア
えすたぶれ	エスタブレ
えすたんぷ	エスタンプ
えすのわーる	エスノワール
えずもんど	エズモンド
えそんぬ	エソンヌ
えで	エデ
えでる	エデル
えどうぃん・いーすてぃんぐはうす	エドウィン・イースティングハウス
えどがー	エドガー
えびのあっさりいため	エビのあっさり炒め
えびのぽてとかなっぺ	エビのポテトカナッペ
えびのぽてとつつみあげ	エビのポテト包み揚げ
えぴくれしすかげきじょう	エピクレシス歌劇場
えふぇんでぃ	エフェンディ
えぼし	烏帽子
えら・ますく	エラ・マスク
えりなす	エリナス
えりにゅすさんりんちく	エリニュス山林地区
えりにゅすとう	エリニュス島
えりまききじ	エリマキキジ
えりん	エリン
えるとんかいこう	エルトン海溝
えるひんげん	エルヒンゲン
えるふぁね	エルファネ
えるまいとりょだん・あっくす	エルマイト旅団・アックス
えるまいとりょだん・くろすぼう	エルマイト旅団・クロスボウ
えるまいとりょだん・げいるはんたー	エルマイト旅団・ゲイルハンター
えるまいとりょだん・さんどうぉーたー	エルマイト旅団・サンドウォーター
えるまいとりょだん・さんどろあますたー	エルマイト旅団・サンドロアマスター
えるまいとりょだん・さんふろすと	エルマイト旅団・サンフロスト
えるまいとりょだん・すとーんえんちゃんたー	エルマイト旅団・ストーンエンチャンター
えるまいとりょだん・そーどだんさー	エルマイト旅団・ソードダンサー
えるまいとりょだん・でいさんだー	エルマイト旅団・デイサンダー
えるまいとりょだん・ふろーらるりんぐだんさー	エルマイト旅団・フローラルリングダンサー
えるまいとりょだん・べくどこるばん	エルマイト旅団・ベクドコルバン
えるまいとりょだん・らいんぶれいかー	エルマイト旅団・ラインブレイカー
えるみん	エルミン
えれいん	エレイン
えれぼす	エレボス
えんかくのとう	縁覚の塔
えんがんのあげーと	炎願のアゲート
えんがんのあげーと・かけら	炎願のアゲート・欠片
えんがんのあげーと・かたまり	炎願のアゲート・塊
えんがんのあげーと・さいせつ	炎願のアゲート・砕屑
えんこうのうき	淵光の羽鰭
えんしぇんとゔぃしゃっぷ・いわ	エンシェントヴィシャップ・岩
えんじょう	淵上
えんたい	遠黛
えんどらー	エンドラー
えーじぇんとのかたな	エージェントの刀
おあしすがーでんのあいし	オアシスガーデンの哀思
おあしすがーでんのおんけい	オアシスガーデンの恩恵
おあしすがーでんのしんたい	オアシスガーデンの真諦
おあしすがーでんのついおく	オアシスガーデンの追憶
おいしそうな	美味しそうな
おいなかいがん	オイナ海岸
おうごん	黄金
おうごんがに	黄金ガニ
おうごんのおしえ	「黄金」の教え
おうごんのじゃんぼちきん	黄金のジャンボチキン
おうごんのてつがく	「黄金」の哲学
おうごんのみちびき	「黄金」の導き
おうじつのうみ	往日の海
おうたつ	応達
おおがたいわすらいむ	大型岩スライム
おおがたかぜすらいむ	大型風スライム
おおがたかみなりすらいむ	大型雷スライム
おおがたがれきぶりーちゃーぷりむす	大型瓦礫ブリーチャープリムス
おおがたきょうまんぶりーちゃーぷりむす	大型狂蔓ブリーチャープリムス
おおがたくさすらいむ	大型草スライム
おおがたこおりすらいむ	大型氷スライム
おおがたほのおすらいむ	大型炎スライム
おおがたみずすらいむ	大型水スライム
おおわんのおちゃ	大椀のお茶
おぐず	オグズ
おこのみやき	お好み焼き
おこめぷりん	お米プリン
おず	オズ
おずゔぁるど・らふなゔぃねす	オズヴァルド・ラフナヴィネス
おせる	オセル
おそうぇ	オソウェ
おたべください	お食べくだ菜
おとぎざい	御伽材
おにかぶとむし	オニカブトムシ
おにぎり	おにぎり
おにくたっぷりずし	お肉たっぷり寿司
おにくとやさいのしちゅー	お肉と野菜のシチュー
おにくまる	御肉丸
おむらいす	オムライス
おむらいす・わるつ	オムライス・ワルツ
おもいつのぶえ	重い角笛
おりじなるりょうり	オリジナル料理
おるこ	オルコ
おれぐ	オレグ
おれたけんのつか	折れた剣の柄
おれんじきし	橙色騎士
おろばし	オロバシ
おろばしのみこと	オロバシノミコト
おんせんたいむ	温泉タイム
おんだんせんれい	温暖仙霊
おーがすたす・らゔれす	オーガスタス・ラヴレス
おーしゃんじゅんかいほうかん	オーシャン巡回法官
おーともんたーにゅ	オートモンターニュ
おーびっく	オービック
おーれる	オーレル
かいじんのこころ	灰燼の心
かいそう	海草
かいらぎ・えんい	海乱鬼・炎威
かいらぎ・らいとう	海乱鬼・雷騰
かいりついん	諧律院
かうさ	カウサ
かうとりや	カウトリヤ
かうふ	カウフ
かうる	カウル
かえでざい	楓材
かおりたかい	香り高い
かおりまじりあうふうみ	香り交じり合う風味
かかた	カカタ
かかまま	カカママ
かがやくだいや	輝くダイヤ
かくちくのおしえ	「角逐」の教え
かくちくのてつがく	「角逐」の哲学
かくちくのみちびき	「角逐」の導き
かげうちのつば	影打の鍔
かげきじょう	歌劇場
かげろうまる	影狼丸
かこくのやみじ	河谷の闇路
かさがら	カサガラ
かしん	花神
かしんきぞうみっきゅう	華清帰蔵密宮
かじぇ	カジェ
かじんろういちしんくん	歌塵浪市真君
かすみいろのほうじゅ	霞色の宝珠
かずーが	カズーガ
かぜしょうちょう	風晶蝶
かぜすらいむ	風スライム
かぜのあくりょう	風の悪霊
かぜふらいむ	風フライム
かたいどうのこんぱす	堅い銅のコンパス
かたりな	カタリナ
かちがんしゅう	華池岩岫
かっしおどる	カッシオドル
かつさんど	カツサンド
かつりょくにゃんこめし	活力にゃんこ飯
かなたにあるしょうじょのこころ	彼方にある少女の心
かに	カニ
かにのばたーぞえ	カニのバター添え
かにみそこうらやき	かにみそ甲羅焼き
かにみそとはむのぐりるやさい	かにみそとハムのグリル野菜
かにみそどうふ	かにみそ豆腐
かのてぃら	カノティラ
かばざい	樺材
かぱっちり	カパッチリ
かぴたーの	カピターノ
かぴばら	カピバラ
かふな	カフナ
かぺー	カペー
かま	カマ
かみさとやしき	神里屋敷
かみなりうちのうつわ	雷討ちの器
かみなりうちのかんむり	雷討ちの冠
かみなりうちのこころ	雷討ちの心
かみなりうちのとき	雷討ちの刻
かみなりうちのはね	雷討ちの羽根
かみなりしょうちょう	雷晶蝶
かみなりすらいむ	雷スライム
かみなりふらいむ	雷フライム
かみなりまつりのかんむり	雷祭りの冠
かみなりをよぶかんむり	雷を呼ぶ冠
かめいむねひさ	亀井宗久
かもにくのこんふぃ	鴨肉のコンフィ
かもむねにくのおれんじそーすそてー	鴨胸肉のオレンジソースソテー
からふるふぉれすと	カラフルフォレスト
からふるまかろん	カラフルマカロン
からぼす	カラボス
からむる	カラムル
かりうどのあおみどりいろのやばね	狩人の青緑色の矢羽
かりかりくろわっさん	カリカリクロワッサン
かりかりちきんばーがー	カリカリチキンバーガー
かりのしゅうかく	狩りの収穫
かりぶでぃすとりであと	カリュブディス砦跡
かりべると	カリベルト
かりべると・あるべりひ	カリベルト・アルベリヒ
かりろえー	カリロエー
かるぴりあ	カルピリア
かれい	花霊
かれぬきぬのはな	枯れぬ絹の花
かれーしゅりむぷ	カレーシュリムプ
かろれ	カロレ
かろん	カロン
かんじゅくとまとのみーとそーす	完熟トマトのミートソース
かんなざん	カンナ山
かんな・かぱっちり	カンナ・カパッチリ
かんほうてっき	寒鋒鉄器
かんろかげろう	甘露カゲロウ
かんろのいけ	甘露の池
かーたー・しぇるびうす	カーター・シェルビウス
かーりゃ	カーリャ
かーる・いんごるど	カール・インゴルド
かーれす	カーレス
かーんるいあのごだいつみびと	カーンルイアの「五大罪人」
がいあ・あるべりひ	ガイア・アルベリヒ
がいかいのしなぷす	外界のシナプス
がいがっくす	ガイガックス
がくしゃのこっぷ	学者のコップ
がくしゃのしおり	学者のしおり
がくしゃのとけい	学者の時計
がくしゃのはねぺん	学者の羽根ペン
がくしゃのれんず	学者のレンズ
がくだんのあさのひかり	楽団の朝の光
がるしあ	ガルシア
がるびびだむ	ガルビビダム
がれきぶりーちゃーぷりむす	瓦礫ブリーチャープリムス
がんじょうちゃしつ	岩上茶室
がーどどっぐ	ガードドッグ
がーりっくばげっと	ガーリックバゲット
きいろのせんりょう	黄色の染料
きえゆくろうへい	「消えゆく老兵」
きえゆくろうへい	消えゆく老兵
きえん	喜炎
きかいのこあはぐるま	奇械のコア歯車
きかいぶひん・こっぺりあ	奇械部品・コッペリア
きかいぶひん・こぺりうす	奇械部品・コペリウス
きげんおあしすのしゅごしゃ	起源オアシスの守護者
きげんのにわ	帰元ノ庭
きこうのひらはぐるま	機構の平歯車
きさく	奇策
きしがちにそめたとき	騎士が血に染めた時
きしゅう	帰終
きせいしんふぉにー	祈聖シンフォニー
きせいひきょう	祈聖秘境
きたかぜのしっぽ	北風のしっぽ
きたかぜのりんぐ	北風のリング
きたくにぎんこう	北国銀行
きっこうちゅう	吉光虫
きつねさいぐう	狐斎宮
きぬおりのはね	絹織りの羽
きのこ	キノコ
きのこのくりーむすーぷ	きのこのクリームスープ
きのこぴざ	キノコピザ
きのこんのすいきんかく	キノコンの衰菌核
きのこんのそうきんかく	キノコンの壮菌核
きのこんのほうし	キノコンの胞子
きのこんのみんきんかく	キノコンの眠菌核
きばんく	キバンク
きほんぞうしょくせいめいたい	基本増殖生命体
きぼうのこころ	祈望の心
きぼうのみち	希望の道
きゃくさざい	却砂材
きゃさりん	キャサリン
きゃたぴらー	キャタピラー
きゅうきぞくのかめん	旧貴族の仮面
きゅうきぞくのぎんびん	旧貴族の銀瓶
きゅうきぞくのとけい	旧貴族の時計
きゅうきぞくのはな	旧貴族の花
きゅうきぞくのはね	旧貴族の羽根
きゅうしいっしょうのやきざかな	九死一生の焼き魚
きゅーぶとりっく	キューブトリック
きょうかんのかいちゅうどけい	教官の懐中時計
きょうかんのてぃーかっぷ	教官のティーカップ
きょうかんのはなかざり	教官の花飾り
きょうかんのはねかざり	教官の羽飾り
きょうかんのぼうし	教官の帽子
きょうじゃのみちのり	強者の道のり
きょうせんしのかめん	狂戦士の仮面
きょうせんしのこっぷ	狂戦士のコップ
きょうせんしのとけい	狂戦士の時計
きょうせんしのはね	狂戦士の羽根
きょうせんしのばら	狂戦士の薔薇
きょうまんぶりーちゃーぷりむす	狂蔓ブリーチャープリムス
きょうらんのせいしゅのあわれ	狂乱の聖主の哀れ
きょうらんのせいしゅのしんめん	狂乱の聖主の神面
きょうらんのせいしゅのふはい	狂乱の聖主の腐敗
きょうらんのせいしゅのようぼう	狂乱の聖主の溶貌
きょくけいつうゆうのところ	曲径通幽の処
きょさんじんりのところ	墟散人離の処
きりうつろのかふん	霧虚ろの花粉
きりうつろのそうのう	霧虚ろの草嚢
きりうつろのとうしん	霧虚ろの灯芯
きりのゆうりんどう	霧の幽林道
きりや	キリヤ
きわみのひとつり	極みの一釣り
きんぎょそう	キンギョソウ
きんぐでしぇれと	キングデシェレト
きんじゅのえまき	禁呪の絵巻
きんどうのひどけい	金銅の日時計
きんめっきのこさーじゅ	金メッキのコサージュ
きんもんのきざまれたげんかく	金紋の刻まれた源核
きんろうのおしえ	「勤労」の教え
きんろうのてつがく	「勤労」の哲学
きんろうのみちびき	「勤労」の導き
ぎめる	ギメル
ぎゅうにゅう	牛乳
ぎょううんのりんこう	凝雲の鱗甲
ぎょうけつのはな	凝結の華
ぎょくけいだい	玉京台
ぎょくこうちゅう	玉光虫
ぎょくごうがめ	玉璜ガメ
ぎょくごうこがめ	玉璜古ガメ
ぎょこうとーすと	魚香トースト
