Genshin Impact Extra 2
ぎょにくのやきめん	魚肉の焼き麺
すづくりぞうしょくせいめいたい	巣作り増殖生命体
すてーき	ステーキ
すぱいしーぽとふ	スパイシーポトフ
すぱだのひこ	須婆達の彦
すぱるたくす	スパルタクス
すぱーくりんぐべりーじゅーす	スパークリングベリージュース
すぴのくろこ	スピノクロコ
すみだ	墨田
すみれいろのにわ	菫色ノ庭
すみれうり	スミレウリ
すめいぬ	スメイヌ
すめーるきょうれいいん	スメール教令院
すめーるろーず	スメールローズ
すらいむのえきたい	スライムの液体
すらいむのぶんぴつぶつ	スライムの分泌物
するとろっち	スルトロッチ
すーざん	スーザン
すーふぁしゅ	スーファシュ
ずるゔぁーん	ズルヴァーン
せいあつとっかがたましなりー	制圧特化型マシナリー
せいかきょうぎじょうちゅえんまーけっと	聖火競技場・チュエンマーケット
せいがいあかわし	聖骸赤鷲
せいがいがじゅう	聖骸牙獣
せいがいさそり	聖骸サソリ
せいがいつのわに	聖骸ツノワニ
せいがいとびへび	聖骸トビヘビ
せいぎのおしえ	「正義」の教え
せいぎのてつがく	「正義」の哲学
せいぎのみちびき	「正義」の導き
せいごうのはぐるま	整合の歯車
せいじゃくかんが	「静寂閑雅」
せいすいぎょく	清水玉
せいせいたいへい	盛世太平
せいちょうのえめらるど	成長のエメラルド
せいちょうのえめらるど・かけら	成長のエメラルド・欠片
せいちょうのえめらるど・かたまり	成長のエメラルド・塊
せいちょうのえめらるど・さいせつ	成長のエメラルド・砕屑
せいひつなもりのしずくのきんぷ	静謐な森のしずくの金符
せいひつなもりのしずくのぎんぷ	静謐な森のしずくの銀符
せいひつなもりのしずくのてっぷ	静謐な森のしずくの鉄符
せいもあ	セイモア
せいらいいたち	青雷イタチ
せいらいまる	セイライ丸
せいろでゅえっと	清露デュエット
せきかしたこっぺん	石化した骨片
せきさのおり	赤砂の檻
せきしょう	石商
せきせつのみち	積雪の道
せさる	セサル
せしりあのなえどこ	セシリアの苗床
せたれ	セタレ
せっしゃく	接笏
せっそうのみやこ	雪葬の都
せっそうのみやこ・きゅうぐう	雪葬の都・旧宮
せっそうのみやこ・きんこう	雪葬の都・近郊
せどな	セドナ
せぴゅろすきょうかい	西風教会
せぴゅろすのたかのしんでん	西風の鷹の神殿
せんかすむーじー	仙果スムージー
せんきょう	染境
せんしのてってき	戦士の鉄笛
せんそくびん	仙速瓶
せんめつとっかがたましなりー	殲滅特化型マシナリー
せんもんのきょしゅう	千門の虚舟
せんれいむーす	千霊ムース
ぜったいおつまみじゃない	絶対オツマミじゃない
ぜつうんおこげ	絶雲お焦げ
そういのおしえ	「創意」の教え
そういのてつがく	「創意」の哲学
そういのみちびき	「創意」の導き
そうぎょく	漱玉
そうせいようせいのきし・あんじぇりか	双生妖精の騎士・アンジェリカ
そうせいようせいのきし・みどろ	双生妖精の騎士・ミドロ
そうはくのいえい	蒼白の遺栄
そくりょうしえっぐばーがー	測量士エッグバーガー
そしー	ソシー
そにぃ	ソニィ
そば	そば
そまっく	ソマック
そらやー	ソラヤー
そるしゅ	ソルシュ
ぞしもす	ゾシモス
ぞーや・しゅないつぇふな	ゾーヤ・シュナイツェフナ
たいこのじゅかいのいっしゅん	太古の樹海の一瞬
たいざんふ	太山府
たいたるが	タイダルガ
たいれい	大霊
たからさがしのからすまーく	宝探しの鴉マーク
たきをのぞむはいと	滝を臨む廃都
たけざい	竹材
たたらすな	たたら砂
たっどらー	タッドラー
たねのはこ	種の匣
たふちーん	タフチーン
たふむーらす	タフムーラス
たまりすくざい	タマリスク材
たらったかいていこく	タラッタ海底谷
たりえしん	タリエシン
たるこ	タルコ
たるたるたわー	タルタルタワー
たろうまる	太郎丸
たんせいこめたいっさく	丹精込めた一作
だいこんいりのやさいすーぷ	大根入りの野菜スープ
だいこんのあげだんご	大根の揚げ団子
だいにちみこし	大日神輿
だいんすれいゔ	ダインスレイヴ
だくすいげんれい	濁水幻霊
だくすいのひとしずく	濁水のひとしずく
だくすいのひとすくい	濁水のひとすくい
だくすいふんさいのげんれい	濁水粉砕の幻霊
だくすいふんしゅつのげんれい	濁水噴出の幻霊
だじゅうだいおう	駄獣大王
だて	伊達
だにーら	ダニーラ
だれかがたいせつにしていたはな	誰かが大切にしていた花
だれっと	ダレット
だんがんふじつぼ	弾丸フジツボ
だんごぎゅうにゅう	団子牛乳
だんでぃ	ダンディ
だんどりーちきん	タンドリーチキン
だーご	ダーゴ
だーもゔぃるざっかてん	ダーモヴィル雑貨店
ちあんか	チアンカ
ちぇしる	チェシル
ちぇるびっくあぷりしあ	チェルビックアプリシア
ちかいのきんぱい	誓いの金杯
ちこぎょやき	チ虎魚焼き
ちこや	チコヤ
ちぞめのきしのこっぷ	血染めの騎士のコップ
ちぞめのくろはね	血染めの黒羽
